Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Use Case ID,UC_CAMPAIGN_CREATION_UI_001,0,0,Высокий,Высокая,Campaign Rule Content Timer Segment Analytics
USE CASE,Название,Campaign Creation - User Interface,0,0,Высокий,Высокая,
USE CASE,Описание,Пользовательский интерфейс для создания новых маркетинговых кампаний с настройкой правил контента и таймеров через веб-панель,0,0,Высокий,Высокая,
USE CASE,Primary Actor,Мерчант (маркетолог кампаний-менеджер),0,0,Высокий,Высокая,
USE CASE,Secondary Actors,Система уведомлений,0,0,Высокий,Высокая,
USE CASE,Цель,Предоставить интуитивный интерфейс для создания персонализированных маркетинговых кампаний без технических знаний,0,0,Высокий,Высокая,
USE CASE,Preconditions,Мерчант авторизован в системе Доступ к разделу Campaign Creation,0,0,Высокий,Высокая,
USE CASE,Main Flow Step 1,Открытие создания кампании: Мерчант нажимает на меню "Campaigns" → Выбирает "Create New Campaign" → Система открывает мастер создания,4,0.5,Высокий,Низкая,"campaignId - Уникальный идентификатор кампании
name - Название кампании
description - Описание кампании
status - Статус (активна/пауза/завершена)
type - Тип кампании (email/push/in-app)
startDate - Дата начала
endDate - Дата окончания
createdAt - Дата создания"
USE CASE,Main Flow Step 2,Выбор типа кампании: Система показывает варианты типов кампаний → Мерчант выбирает тип из радиокнопок (Email/Push/In-app) → Система обновляет интерфейс,8,1,Высокий,Низкая,"campaignId - Уникальный идентификатор кампании
name - Название кампании
description - Описание кампании
status - Статус (активна/пауза/завершена)
type - Тип кампании (email/push/in-app)
startDate - Дата начала
endDate - Дата окончания
createdAt - Дата создания"
USE CASE,Main Flow Step 3,Заполнение базовой информации: Мерчант вводит название кампании → Добавляет описание → Указывает цель кампании,12,1.5,Высокий,Средняя,"campaignId - Уникальный идентификатор кампании
name - Название кампании
description - Описание кампании
status - Статус (активна/пауза/завершена)
type - Тип кампании (email/push/in-app)
startDate - Дата начала
endDate - Дата окончания
createdAt - Дата создания"
USE CASE,Main Flow Step 4,Настройка аудитории: Мерчант нажимает "Настроить аудиторию" → Система открывает селектор сегментов → Позволяет выбрать критерии таргетинга,16,2,Высокий,Средняя,"segmentId - Уникальный идентификатор сегмента
name - Название сегмента
description - Описание сегмента
criteria - JSON критерии сегментации
playerCount - Количество игроков в сегменте
isActive - Флаг активности
createdAt - Дата создания"
USE CASE,Main Flow Step 5,Создание контента: Мерчант переходит на вкладку "Контент" → Система показывает редактор → Позволяет создать текст сообщения и добавить медиа,20,2.5,Высокий,Высокая,"contentId - Уникальный идентификатор контента
campaignId - Ссылка на кампанию
contentType - Тип контента (текст/изображение/видео)
title - Заголовок
body - Тело сообщения
mediaUrl - URL медиа-файла
templateId - ID шаблона
isActive - Флаг активности"
USE CASE,Main Flow Step 6,Настройка расписания: Мерчант переходит на вкладку "Расписание" → Устанавливает дату и время запуска → Настраивает повторения через календарь,12,1.5,Высокий,Средняя,"timerId - Уникальный идентификатор таймера
campaignId - Ссылка на кампанию
triggerType - Тип триггера (время/событие)
scheduledTime - Запланированное время
timezone - Часовой пояс
repeatPattern - Паттерн повторения
isActive - Флаг активности"
USE CASE,Main Flow Step 7,Предварительный просмотр: Мерчант нажимает "Предпросмотр" → Система показывает как будет выглядеть кампания → Позволяет протестировать на тестовых данных,8,1,Высокий,Низкая,"campaignId - Уникальный идентификатор кампании
name - Название кампании
description - Описание кампании
status - Статус (активна/пауза/завершена)
type - Тип кампании (email/push/in-app)
startDate - Дата начала
endDate - Дата окончания
createdAt - Дата создания

contentId - Уникальный идентификатор контента
campaignId - Ссылка на кампанию
contentType - Тип контента (текст/изображение/видео)
title - Заголовок
body - Тело сообщения
mediaUrl - URL медиа-файла
templateId - ID шаблона
isActive - Флаг активности"
USE CASE,Main Flow Step 8,Сохранение кампании: Мерчант нажимает кнопку "Сохранить" → Система показывает подтверждение → Сохраняет кампанию как черновик,8,1,Высокий,Низкая,"campaignId - Уникальный идентификатор кампании
name - Название кампании
description - Описание кампании
status - Статус (активна/пауза/завершена)
type - Тип кампании (email/push/in-app)
startDate - Дата начала
endDate - Дата окончания
createdAt - Дата создания"
USE CASE,Alternative Flow A1,Использование шаблона: Мерчант нажимает "Использовать шаблон" → Система показывает галерею шаблонов → Позволяет выбрать готовый шаблон,12,1.5,Средний,Средняя,"templateId - Уникальный идентификатор шаблона
name - Название шаблона
description - Описание шаблона
category - Категория шаблона
content - Содержимое шаблона
isActive - Флаг активности
createdAt - Дата создания"
USE CASE,Alternative Flow A2,Копирование существующей: Мерчант нажимает "Копировать кампанию" → Система показывает список кампаний → Позволяет выбрать для копирования,8,1,Средний,Низкая,"campaignId - Уникальный идентификатор кампании
name - Название кампании
description - Описание кампании
status - Статус (активна/пауза/завершена)
type - Тип кампании (email/push/in-app)
startDate - Дата начала
endDate - Дата окончания
createdAt - Дата создания"
