Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Use Case ID,UC_UI_BUILDER_DRAG_DROP_001,0,0,Высокий,Высокая,UIComponent Template Layout Theme Style ComponentLibrary
USE CASE,Название,UI Builder - Drag & Drop Interface,0,0,Высокий,Высокая,
USE CASE,Описание,Пользовательский интерфейс для создания и настройки интерфейса игрового магазина через drag & drop конструктор с визуальными компонентами,0,0,Высокий,Высокая,
USE CASE,Primary Actor,Мерчант (UI дизайнер менеджер по продукту),0,0,Высокий,Высокая,
USE CASE,Secondary Actors,Система уведомлений,0,0,Высокий,Высокая,
USE CASE,Цель,Предоставить интуитивный визуальный конструктор для создания уникального интерфейса магазина без навыков программирования,0,0,Высокий,Высокая,
USE CASE,Preconditions,Мерчант авторизован в системе Доступ к разделу UI Builder,0,0,Высокий,Высокая,
USE CASE,Main Flow Step 1,Открытие UI Builder: Мерчант нажимает на меню "Design" → Выбирает "UI Builder" → Система загружает конструктор интерфейса,4,0.5,Высокий,Низкая,"uiBuilderId - Уникальный идентификатор UI Builder
name - Название проекта
description - Описание проекта
status - Статус (черновик/опубликован/архив)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор проекта"
USE CASE,Main Flow Step 2,Выбор шаблона: Система показывает галерею готовых шаблонов → Мерчант просматривает варианты → Выбирает подходящий шаблон,8,1,Высокий,Низкая,"templateId - Уникальный идентификатор шаблона
name - Название шаблона
description - Описание шаблона
category - Категория шаблона
previewImage - Изображение превью
componentCount - Количество компонентов
isPremium - Флаг премиум шаблона
createdAt - Дата создания"
USE CASE,Main Flow Step 3,Открытие рабочего пространства: Система загружает выбранный шаблон → Показывает панель компонентов слева → Отображает рабочую область по центру,12,1.5,Высокий,Средняя,"layoutId - Уникальный идентификатор макета
uiBuilderId - Ссылка на UI Builder
layoutType - Тип макета (desktop/mobile/tablet)
gridColumns - Количество колонок сетки
gridGap - Расстояние между элементами
containerWidth - Ширина контейнера
isResponsive - Флаг адаптивности"
USE CASE,Main Flow Step 4,Перетаскивание компонентов: Мерчант перетаскивает компонент из панели → Система показывает область размещения → Компонент появляется на рабочей области,16,2,Высокий,Средняя,"componentId - Уникальный идентификатор компонента
layoutId - Ссылка на макет
componentType - Тип компонента (кнопка/текст/изображение)
positionX - Позиция по X
positionY - Позиция по Y
width - Ширина компонента
height - Высота компонента
zIndex - Слой компонента"
USE CASE,Main Flow Step 5,Настройка свойств компонента: Мерчант кликает на компонент → Система открывает панель свойств справа → Позволяет изменять параметры,20,2.5,Высокий,Высокая,"componentId - Уникальный идентификатор компонента
layoutId - Ссылка на макет
componentType - Тип компонента (кнопка/текст/изображение)
positionX - Позиция по X
positionY - Позиция по Y
width - Ширина компонента
height - Высота компонента
zIndex - Слой компонента

styleId - Уникальный идентификатор стиля
componentId - Ссылка на компонент
propertyName - Название свойства
propertyValue - Значение свойства
propertyType - Тип свойства (цвет/размер/шрифт)
isInherited - Флаг наследования
lastUpdated - Дата обновления"
USE CASE,Main Flow Step 6,Изменение темы оформления: Мерчант нажимает "Темы" → Система показывает палитру цветов → Применяет выбранную тему ко всем компонентам,12,1.5,Высокий,Средняя,"themeId - Уникальный идентификатор темы
name - Название темы
primaryColor - Основной цвет
secondaryColor - Вторичный цвет
accentColor - Акцентный цвет
backgroundColor - Цвет фона
textColor - Цвет текста
fontFamily - Семейство шрифтов"
USE CASE,Main Flow Step 7,Предварительный просмотр: Мерчант нажимает кнопку "Превью" → Система открывает модальное окно → Показывает как будет выглядеть интерфейс,8,1,Высокий,Низкая,"uiBuilderId - Уникальный идентификатор UI Builder
name - Название проекта
description - Описание проекта
status - Статус (черновик/опубликован/архив)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор проекта

layoutId - Уникальный идентификатор макета
uiBuilderId - Ссылка на UI Builder
layoutType - Тип макета (desktop/mobile/tablet)
gridColumns - Количество колонок сетки
gridGap - Расстояние между элементами
containerWidth - Ширина контейнера
isResponsive - Флаг адаптивности"
USE CASE,Main Flow Step 8,Сохранение проекта: Мерчант нажимает "Сохранить" → Система показывает форму сохранения → Позволяет указать название и описание,8,1,Высокий,Низкая,"uiBuilderId - Уникальный идентификатор UI Builder
name - Название проекта
description - Описание проекта
status - Статус (черновик/опубликован/архив)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор проекта"
USE CASE,Main Flow Step 9,Публикация интерфейса: Мерчант нажимает "Опубликовать" → Система показывает подтверждение → Активирует новый интерфейс в магазине,8,1,Высокий,Низкая,"uiBuilderId - Уникальный идентификатор UI Builder
name - Название проекта
description - Описание проекта
status - Статус (черновик/опубликован/архив)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор проекта"
USE CASE,Alternative Flow A1,Создание с нуля: Мерчант нажимает "Новый проект" → Система показывает пустое рабочее пространство → Позволяет начать создание с чистого листа,12,1.5,Средний,Средняя,"uiBuilderId - Уникальный идентификатор UI Builder
name - Название проекта
description - Описание проекта
status - Статус (черновик/опубликован/архив)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор проекта"
USE CASE,Alternative Flow A2,Редактирование существующего: Мерчант выбирает проект из списка → Система загружает сохраненный интерфейс → Позволяет продолжить редактирование,8,1,Средний,Низкая,"uiBuilderId - Уникальный идентификатор UI Builder
name - Название проекта
description - Описание проекта
status - Статус (черновик/опубликован/архив)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор проекта"
