Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Use Case ID,UC_AUDIENCE_SEGMENTATION_UI_001,0,0,Высокий,Высокая,Segment Criteria Analytics Player Profile ML Model
USE CASE,Название,Audience Segmentation - User Interface,0,0,Высокий,Высокая,
USE CASE,Описание,Пользовательский интерфейс для создания и управления сегментами игроков с использованием ML-алгоритмов и критериев сегментации,0,0,Высокий,Высокая,
USE CASE,Primary Actor,Мерчант (маркетолог аналитик по сегментации),0,0,Высокий,Высокая,
USE CASE,Secondary Actors,ML Engine Analytics System,0,0,Высокий,Высокая,
USE CASE,Цель,Предоставить интуитивный интерфейс для создания и управления сегментами игроков с использованием машинного обучения,0,0,Высокий,Высокая,
USE CASE,Preconditions,Мерчант авторизован в системе Доступ к разделу Audience Segmentation,0,0,Высокий,Высокая,
USE CASE,Main Flow Step 1,Открытие сегментации: Мерчант нажимает на меню "Personalization" → Выбирает "Audience Segmentation" → Система загружает дашборд сегментов,4,0.5,Высокий,Низкая,"segmentId - Уникальный идентификатор сегмента
name - Название сегмента
description - Описание сегмента
criteria - JSON критерии сегментации
playerCount - Количество игроков в сегменте
isActive - Флаг активности
createdAt - Дата создания"
USE CASE,Main Flow Step 2,Просмотр существующих сегментов: Система показывает карточки сегментов → Мерчант видит размер и динамику каждого → Может нажать для деталей,8,1,Высокий,Низкая,"segmentId - Уникальный идентификатор сегмента
name - Название сегмента
description - Описание сегмента
criteria - JSON критерии сегментации
playerCount - Количество игроков в сегменте
isActive - Флаг активности
createdAt - Дата создания"
USE CASE,Main Flow Step 3,Создание нового сегмента: Мерчант нажимает кнопку "Создать сегмент" → Система открывает конструктор сегментов → Показывает опции настройки,12,1.5,Высокий,Средняя,"segmentId - Уникальный идентификатор сегмента
name - Название сегмента
description - Описание сегмента
criteria - JSON критерии сегментации
playerCount - Количество игроков в сегменте
isActive - Флаг активности
createdAt - Дата создания"
USE CASE,Main Flow Step 4,Выбор типа сегментации: Мерчант выбирает тип из радиокнопок (RFM/ARPU/Churn/Behavior) → Система показывает специфичные настройки → Обновляет интерфейс,8,1,Высокий,Низкая,"segmentTypeId - Уникальный идентификатор типа сегмента
name - Название типа
description - Описание типа
algorithm - Алгоритм сегментации
parameters - JSON параметры
isMLBased - Флаг ML-основанного типа
createdAt - Дата создания"
USE CASE,Main Flow Step 5,Настройка критериев: Мерчант настраивает критерии через слайдеры и поля → Система показывает предварительный результат → Обновляет количество игроков,16,2,Высокий,Средняя,"criteriaId - Уникальный идентификатор критерия
segmentId - Ссылка на сегмент
fieldName - Название поля
operator - Оператор сравнения
value - Значение критерия
weight - Вес критерия
isRequired - Флаг обязательности"
USE CASE,Main Flow Step 6,Настройка ML-параметров: Мерчант переходит на вкладку "ML Settings" → Настраивает параметры алгоритма → Выбирает модель машинного обучения,20,2.5,Высокий,Высокая,"mlModelId - Уникальный идентификатор ML модели
name - Название модели
algorithm - Алгоритм (Random Forest/K-Means/XGBoost)
version - Версия модели
accuracy - Точность модели
trainingDate - Дата обучения
isActive - Флаг активности"
USE CASE,Main Flow Step 7,Запуск сегментации: Мерчант нажимает "Запустить сегментацию" → Система показывает прогресс → Отображает результаты,12,1.5,Высокий,Средняя,"segmentationId - Уникальный идентификатор процесса сегментации
segmentId - Ссылка на сегмент
status - Статус (запущена/завершена/ошибка)
startTime - Время начала
endTime - Время завершения
processedPlayers - Количество обработанных игроков"
USE CASE,Main Flow Step 8,Просмотр результатов: Система показывает детали сегмента → Отображает распределение игроков → Позволяет экспортировать данные,8,1,Высокий,Низкая,"segmentId - Уникальный идентификатор сегмента
name - Название сегмента
description - Описание сегмента
criteria - JSON критерии сегментации
playerCount - Количество игроков в сегменте
isActive - Флаг активности
createdAt - Дата создания

playerProfileId - Уникальный идентификатор профиля игрока
playerId - Ссылка на игрока
segmentId - Ссылка на сегмент
rfmScore - RFM оценка
arpuValue - ARPU значение
churnRisk - Риск оттока
lastCalculated - Дата последнего расчета"
USE CASE,Alternative Flow A1,Редактирование сегмента: Мерчант кликает на сегмент → Система открывает конструктор → Позволяет изменить критерии,12,1.5,Высокий,Средняя,"segmentId - Уникальный идентификатор сегмента
name - Название сегмента
description - Описание сегмента
criteria - JSON критерии сегментации
playerCount - Количество игроков в сегменте
isActive - Флаг активности
createdAt - Дата создания"
