Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Use Case ID,UC_DAILY_REWARDS_UI_001,0,0,Высокий,Средняя,Reward Calendar Streak Player Progress Analytics
USE CASE,Название,Daily Rewards - User Interface,0,0,Высокий,Средняя,
USE CASE,Описание,Пользовательский интерфейс для системы ежедневных наград с календарем достижений и механикой серий для игроков,0,0,Высокий,Средняя,
USE CASE,Primary Actor,Игрок (пользователь системы наград),0,0,Высокий,Средняя,
USE CASE,Secondary Actors,Система уведомлений Inventory System,0,0,Высокий,Средняя,
USE CASE,Цель,Предоставить захватывающий и мотивирующий интерфейс для получения ежедневных наград с визуальным календарем и прогрессом,0,0,Высокий,Средняя,
USE CASE,Preconditions,Игрок авторизован в системе Доступ к системе ежедневных наград,0,0,Высокий,Средняя,
USE CASE,Main Flow Step 1,Открытие календаря наград: Игрок нажимает на иконку "Ежедневные награды" → Система загружает календарь → Показывает текущий месяц с доступными наградами,4,0.5,Высокий,Низкая,"rewardCalendarId - Уникальный идентификатор календаря наград
playerId - Ссылка на игрока
month - Месяц календаря
year - Год календаря
totalRewards - Общее количество наград
claimedRewards - Полученные награды
isActive - Флаг активности"
USE CASE,Main Flow Step 2,Просмотр доступных наград: Система показывает награды за каждый день → Выделяет текущий день → Показывает прогресс серии,8,1,Высокий,Низкая,"dailyRewardId - Уникальный идентификатор ежедневной награды
calendarId - Ссылка на календарь
day - День месяца
rewardType - Тип награды (валюта/предмет/бонус)
rewardValue - Значение награды
isClaimed - Флаг получения
claimedAt - Время получения"
USE CASE,Main Flow Step 3,Получение награды: Игрок нажимает на доступную награду → Система показывает анимацию → Добавляет награду в инвентарь,8,1,Высокий,Низкая,"rewardClaimId - Уникальный идентификатор получения награды
playerId - Ссылка на игрока
rewardId - Ссылка на награду
claimedAt - Время получения
rewardValue - Полученное значение
isBonus - Флаг бонусной награды"
USE CASE,Main Flow Step 4,Просмотр серии: Система показывает прогресс серии → Отображает сколько дней подряд игрок получал награды → Показывает бонусы за серии,12,1.5,Высокий,Средняя,"streakId - Уникальный идентификатор серии
playerId - Ссылка на игрока
currentStreak - Текущая серия
longestStreak - Самая длинная серия
lastClaimDate - Дата последнего получения
bonusMultiplier - Множитель бонуса
isActive - Флаг активности"
USE CASE,Main Flow Step 5,Получение бонуса серии: Игрок достигает определенной серии → Система показывает уведомление → Выдает бонусную награду,8,1,Высокий,Низкая,"streakBonusId - Уникальный идентификатор бонуса серии
streakId - Ссылка на серию
bonusType - Тип бонуса (множитель/эксклюзив/валюта)
bonusValue - Значение бонуса
unlockedAt - Время разблокировки
isClaimed - Флаг получения"
USE CASE,Main Flow Step 6,Просмотр статистики: Игрок нажимает на вкладку "Статистика" → Система показывает общую статистику → Отображает достижения,6,0.75,Средний,Низкая,"playerStatsId - Уникальный идентификатор статистики игрока
playerId - Ссылка на игрока
totalRewardsClaimed - Всего получено наград
totalValue - Общая стоимость наград
averageStreak - Средняя серия
longestStreak - Самая длинная серия
lastUpdated - Дата последнего обновления"
USE CASE,Main Flow Step 7,Настройка напоминаний: Игрок нажимает на настройки → Выбирает время напоминания → Включает/выключает уведомления,4,0.5,Средний,Низкая,"reminderSettingsId - Уникальный идентификатор настроек напоминаний
playerId - Ссылка на игрока
reminderTime - Время напоминания
isEnabled - Флаг включения
timezone - Часовой пояс
lastSent - Время последней отправки"
USE CASE,Alternative Flow A1,Просмотр истории: Игрок нажимает "История" → Система показывает прошлые месяцы → Позволяет просмотреть полученные награды,6,0.75,Средний,Низкая,"rewardHistoryId - Уникальный идентификатор истории наград
playerId - Ссылка на игрока
month - Месяц
year - Год
totalClaimed - Всего получено
totalValue - Общая стоимость
lastClaimDate - Дата последнего получения"
USE CASE,Alternative Flow A2,Специальные события: Система показывает специальные награды → Игрок может получить эксклюзивные предметы → Отображает ограниченное время,8,1,Средний,Низкая,"specialEventId - Уникальный идентификатор специального события
eventType - Тип события (праздник/сезон/акция)
startDate - Дата начала
endDate - Дата окончания
specialRewards - JSON специальные награды
isActive - Флаг активности"
USE CASE,Alternative Flow A3,Поделиться достижением: Игрок нажимает "Поделиться" → Система генерирует изображение → Позволяет поделиться в социальных сетях,6,0.75,Низкий,Низкая,"shareId - Уникальный идентификатор публикации
playerId - Ссылка на игрока
shareType - Тип публикации (серия/достижение/награда)
platform - Платформа (Twitter/Facebook/Instagram)
sharedAt - Время публикации
reach - Охват публикации"
USE CASE,Exception Flow E1,Пропуск дня: Игрок не получает награду в течение дня → Серия сбрасывается → Система показывает уведомление,4,0.5,Высокий,Низкая,"streakId - Уникальный идентификатор серии
playerId - Ссылка на игрока
currentStreak - Текущая серия
longestStreak - Самая длинная серия
lastClaimDate - Дата последнего получения
bonusMultiplier - Множитель бонуса
isActive - Флаг активности"
USE CASE,Exception Flow E2,Технические проблемы: Система не может выдать награду → Показывает ошибку → Предлагает повторить попытку,6,0.75,Высокий,Низкая,"rewardClaimId - Уникальный идентификатор получения награды
playerId - Ссылка на игрока
rewardId - Ссылка на награду
claimedAt - Время получения
rewardValue - Полученное значение
isBonus - Флаг бонусной награды"
USE CASE,Exception Flow E3,Превышение лимитов: Игрок пытается получить награду несколько раз → Система блокирует повторное получение → Показывает сообщение,4,0.5,Высокий,Низкая,"rewardClaimId - Уникальный идентификатор получения награды
playerId - Ссылка на игрока
rewardId - Ссылка на награду
claimedAt - Время получения
rewardValue - Полученное значение
isBonus - Флаг бонусной награды"
USE CASE,Postcondition Success,Награда получена и добавлена в инвентарь Серия обновлена Статистика актуализирована,0,0,Высокий,Средняя,"rewardClaimId - Уникальный идентификатор получения награды
playerId - Ссылка на игрока
rewardId - Ссылка на награду
claimedAt - Время получения
rewardValue - Полученное значение
isBonus - Флаг бонусной награды

streakId - Уникальный идентификатор серии
playerId - Ссылка на игрока
currentStreak - Текущая серия
longestStreak - Самая длинная серия
lastClaimDate - Дата последнего получения
bonusMultiplier - Множитель бонуса
isActive - Флаг активности

rewardCalendarId - Уникальный идентификатор календаря наград
playerId - Ссылка на игрока
month - Месяц календаря
year - Год календаря
totalRewards - Общее количество наград
claimedRewards - Полученные награды
isActive - Флаг активности

dailyRewardId - Уникальный идентификатор ежедневной награды
calendarId - Ссылка на календарь
day - День месяца
rewardType - Тип награды (валюта/предмет/бонус)
rewardValue - Значение награды
isClaimed - Флаг получения
claimedAt - Время получения

streakBonusId - Уникальный идентификатор бонуса серии
streakId - Ссылка на серию
bonusType - Тип бонуса (множитель/эксклюзив/валюта)
bonusValue - Значение бонуса
unlockedAt - Время разблокировки
isClaimed - Флаг получения

playerStatsId - Уникальный идентификатор статистики игрока
playerId - Ссылка на игрока
totalRewardsClaimed - Всего получено наград
totalValue - Общая стоимость наград
averageStreak - Средняя серия
longestStreak - Самая длинная серия
lastUpdated - Дата последнего обновления

reminderSettingsId - Уникальный идентификатор настроек напоминаний
playerId - Ссылка на игрока
reminderTime - Время напоминания
isEnabled - Флаг включения
timezone - Часовой пояс
lastSent - Время последней отправки

analyticsId - Уникальный идентификатор аналитики
eventType - Тип события (получение/серия/бонус)
playerId - Ссылка на игрока
eventData - JSON данные события
timestamp - Время события
sessionId - ID сессии"
USE CASE,Postcondition Failure,Награда не получена Серия не обновлена Игрок получает уведомление об ошибке,0,0,Высокий,Средняя,"rewardClaimId - Уникальный идентификатор получения награды
playerId - Ссылка на игрока
rewardId - Ссылка на награду
claimedAt - Время получения
rewardValue - Полученное значение
isBonus - Флаг бонусной награды"
USE CASE,Ключевые метрики,Процент ежедневной активности Длина серий Удовлетворенность наградами,0,0,Высокий,Средняя,"analyticsId - Уникальный идентификатор аналитики
eventType - Тип события (получение/серия/бонус)
playerId - Ссылка на игрока
eventData - JSON данные события
timestamp - Время события
sessionId - ID сессии"
USE CASE,Приоритет,Высокий,0,0,Высокий,Средняя,
USE CASE,Сложность,Средняя,0,0,Высокий,Средняя,
USE CASE,Зависимости,Calendar Widget Animation Engine Notification System Inventory System,0,0,Высокий,Средняя,
USE CASE,Общая оценка (Use Case),,70,8.75,Высокий,Средняя,
