Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Use Case ID,UC_WEBSHOP_EXPERIENCE_UI_001,0,0,Высокий,Высокая,Shop Product Cart Checkout Theme Localization Media Analytics
USE CASE,Название,Webshop Experience - User Interface,0,0,Высокий,Высокая,
USE CASE,Описание,Пользовательский интерфейс игрового магазина с персонализацией тем локализацией и интерактивными элементами для игроков,0,0,Высокий,Высокая,
USE CASE,Primary Actor,Игрок (покупатель пользователь магазина),0,0,Высокий,Высокая,
USE CASE,Secondary Actors,Система уведомлений Payment Gateway,0,0,Высокий,Высокая,
USE CASE,Цель,Предоставить захватывающий и персонализированный опыт покупок в игровом магазине с поддержкой различных устройств и языков,0,0,Высокий,Высокая,
USE CASE,Preconditions,Игрок авторизован в системе Доступ к игровому магазину,0,0,Высокий,Высокая,
USE CASE,Main Flow Step 1,Открытие магазина: Игрок нажимает на иконку "Магазин" → Система загружает главную страницу → Отображает каталог товаров,4,0.5,Высокий,Низкая,"shopId - Уникальный идентификатор магазина
name - Название магазина
description - Описание магазина
theme - Текущая тема
language - Язык интерфейса
currency - Валюта
isActive - Флаг активности"
USE CASE,Main Flow Step 2,Просмотр каталога: Система показывает товары с изображениями и ценами → Игрок может фильтровать по категориям → Видит персонализированные рекомендации,8,1,Высокий,Низкая,"productId - Уникальный идентификатор товара
name - Название товара
description - Описание товара
price - Цена товара
currency - Валюта
category - Категория товара
imageUrl - URL изображения
isAvailable - Флаг доступности"
USE CASE,Main Flow Step 3,Детальный просмотр товара: Игрок кликает на товар → Система открывает страницу товара → Показывает детали изображения и опции покупки,12,1.5,Высокий,Средняя,"productId - Уникальный идентификатор товара
name - Название товара
description - Описание товара
price - Цена товара
currency - Валюта
category - Категория товара
imageUrl - URL изображения
isAvailable - Флаг доступности"
USE CASE,Main Flow Step 4,Добавление в корзину: Игрок нажимает кнопку "Добавить в корзину" → Система показывает подтверждение → Обновляет счетчик корзины,8,1,Высокий,Низкая,"cartId - Уникальный идентификатор корзины
playerId - Ссылка на игрока
items - Список товаров в корзине
totalAmount - Общая сумма
currency - Валюта
createdAt - Дата создания
updatedAt - Дата обновления"
USE CASE,Main Flow Step 5,Переход к оформлению: Игрок нажимает "Оформить заказ" → Система открывает страницу оформления → Показывает детали заказа и формы оплаты,16,2,Высокий,Средняя,"checkoutId - Уникальный идентификатор оформления
cartId - Ссылка на корзину
playerId - Ссылка на игрока
paymentMethod - Способ оплаты
shippingAddress - Адрес доставки
totalAmount - Общая сумма
status - Статус оформления"
USE CASE,Main Flow Step 6,Выбор способа оплаты: Игрок выбирает способ оплаты из списка → Система показывает соответствующие поля → Позволяет ввести данные,12,1.5,Высокий,Средняя,"paymentId - Уникальный идентификатор платежа
checkoutId - Ссылка на оформление
paymentMethod - Способ оплаты
amount - Сумма платежа
currency - Валюта
status - Статус платежа
transactionId - ID транзакции"
