Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Use Case ID,UC_PROMO_OFFER_FLOW_EDITOR_001,0,0,Высокий,Высокая,Flow Node Connection Trigger Action Condition Template Execution Validation Analytics
USE CASE,Название,Merchant Admin Panel - Promo/offer flow editor,0,0,Высокий,Высокая,
USE CASE,Описание,Мерчант создает и редактирует потоки промо-предложений используя визуальный редактор для настройки логики активации условий и последовательности действий,0,0,Высокий,Высокая,
USE CASE,Primary Actor,Мерчант (маркетолог администратор магазина),0,0,Высокий,Высокая,
USE CASE,Secondary Actors,Система аналитики AI-персонализация Notification Service Event Bus,0,0,Высокий,Высокая,
USE CASE,Цель,Создать интуитивно понятный визуальный редактор для проектирования сложных потоков промо-предложений с гибкой логикой условий и действий,0,0,Высокий,Высокая,
USE CASE,Preconditions,Мерчант авторизован в системе Доступны шаблоны промо-предложений Настроены каналы коммуникации (email push in-game),0,0,Высокий,Высокая,
USE CASE,Main Flow Step 1,Открытие flow editor: Мерчант заходит в систему → Выбирает "Promo Flow Editor" → Система отображает пустую рабочую область с панелью инструментов,8,1,Высокий,Низкая,"flowId - Уникальный идентификатор потока
name - Название потока
description - Описание потока
status - Статус (активен/неактивен/черновик)
version - Версия потока
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор потока"
USE CASE,Main Flow Step 2,Создание нового потока: Мерчант нажимает "Новый поток" → Система создает пустой canvas → Мерчант вводит название и описание потока,12,1.5,Высокий,Низкая,"flowId - Уникальный идентификатор потока
name - Название потока
description - Описание потока
status - Статус (активен/неактивен/черновик)
version - Версия потока
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор потока"
USE CASE,Main Flow Step 3,Добавление узлов: Мерчант перетаскивает узлы из панели инструментов → Система размещает узлы на canvas → Мерчант настраивает параметры каждого узла (триггеры условия действия),32,4,Высокий,Высокая,"nodeId - Уникальный идентификатор узла
flowId - Ссылка на поток
type - Тип узла (триггер/действие/условие)
position - Позиция на canvas
parameters - Параметры узла
connections - Связи с другими узлами
inputOutput - Входы и выходы

triggerId - Уникальный идентификатор триггера
nodeId - Ссылка на узел
type - Тип триггера (время/событие/данные)
parameters - Параметры триггера
schedule - Расписание срабатывания
conditions - Условия активации
isActive - Флаг активности

actionId - Уникальный идентификатор действия
nodeId - Ссылка на узел
type - Тип действия (отправка/обработка/сохранение)
parameters - Параметры действия
payload - Данные для выполнения
targetChannel - Целевой канал
executionOrder - Порядок выполнения

conditionId - Уникальный идентификатор условия
nodeId - Ссылка на узел
type - Тип условия (сравнение/проверка)
operator - Оператор сравнения
value - Значение для сравнения
dataSource - Источник данных
comparisonType - Тип сравнения"
USE CASE,Main Flow Step 4,Создание связей: Мерчант соединяет узлы стрелками → Система создает логические связи → Мерчант настраивает условия переходов между узлами,24,3,Высокий,Высокая,"connectionId - Уникальный идентификатор связи
sourceNodeId - Исходный узел
targetNodeId - Целевой узел
conditionType - Тип условия перехода
conditionValue - Значение условия
priority - Приоритет связи"
USE CASE,Main Flow Step 5,Настройка логики: Мерчант добавляет условия ветвления → Система отображает логические блоки → Мерчант настраивает IF/ELSE условия и циклы,28,3.5,Высокий,Высокая,"conditionId - Уникальный идентификатор условия
nodeId - Ссылка на узел
type - Тип условия (сравнение/проверка)
operator - Оператор сравнения
value - Значение для сравнения
dataSource - Источник данных
comparisonType - Тип сравнения"
