Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Use Case ID,UC_ANALYTICS_INTEGRATIONS_UI_001,0,0,Высокий,Высокая,Integration Service Mapping SyncLog Metrics Alert Template Credentials Config Analytics
USE CASE,Название,Analytics Integrations - User Interface,0,0,Высокий,Высокая,
USE CASE,Описание,Пользовательский интерфейс для настройки интеграций с внешними аналитическими сервисами через веб-интерфейс административной панели,0,0,Высокий,Высокая,
USE CASE,Primary Actor,Мерчант (маркетолог администратор магазина),0,0,Высокий,Высокая,
USE CASE,Secondary Actors,Система уведомлений,0,0,Высокий,Высокая,
USE CASE,Цель,Предоставить удобный веб-интерфейс для настройки и управления аналитическими интеграциями без технических знаний,0,0,Высокий,Высокая,
USE CASE,Preconditions,Мерчант авторизован в системе Доступ к разделу Analytics Integrations,0,0,Высокий,Высокая,
USE CASE,Main Flow Step 1,Открытие раздела интеграций: Мерчант нажимает на меню "Analytics" → Выбирает "Integrations" → Система отображает главную страницу интеграций,4,0.5,Высокий,Низкая,"serviceId - Уникальный идентификатор сервиса
name - Название сервиса
type - Тип сервиса (analytics/tracking)
apiEndpoint - URL API для подключения
authenticationType - Тип аутентификации
rateLimits - Лимиты запросов
supportedMetrics - Поддерживаемые метрики"
USE CASE,Main Flow Step 2,Просмотр доступных сервисов: Система показывает карточки доступных сервисов (AppsFlyer Adjust GA4) → Мерчант видит статус каждого сервиса → Может нажать на карточку для деталей,8,1,Высокий,Низкая,"serviceId - Уникальный идентификатор сервиса
name - Название сервиса
type - Тип сервиса (analytics/tracking)
apiEndpoint - URL API для подключения
authenticationType - Тип аутентификации
rateLimits - Лимиты запросов
supportedMetrics - Поддерживаемые метрики"
USE CASE,Main Flow Step 3,Добавление новой интеграции: Мерчант нажимает кнопку "Добавить интеграцию" → Система открывает модальное окно с формой → Показывает список доступных сервисов,12,1.5,Высокий,Средняя,"integrationId - Уникальный идентификатор интеграции
serviceName - Название внешнего сервиса
apiKey - API ключ для подключения
status - Статус интеграции (активна/неактивна)
lastSync - Время последней синхронизации
createdAt - Дата создания
updatedAt - Дата обновления"
USE CASE,Main Flow Step 4,Выбор сервиса: Мерчант выбирает сервис из выпадающего списка → Система показывает специфичную форму для выбранного сервиса → Отображает примеры API ключей,8,1,Высокий,Низкая,"serviceId - Уникальный идентификатор сервиса
name - Название сервиса
type - Тип сервиса (analytics/tracking)
apiEndpoint - URL API для подключения
authenticationType - Тип аутентификации
rateLimits - Лимиты запросов
supportedMetrics - Поддерживаемые метрики"
USE CASE,Main Flow Step 5,Заполнение формы подключения: Мерчант вводит API ключ в поле ввода → Система показывает валидацию в реальном времени → Отображает подсказки и примеры,16,2,Высокий,Средняя,"credentialsId - Уникальный идентификатор учетных данных
integrationId - Ссылка на интеграцию
credentialType - Тип учетных данных (API ключ/токен)
encryptedValue - Зашифрованное значение
isActive - Флаг активности
createdAt - Дата создания
updatedAt - Дата обновления"
USE CASE,Main Flow Step 6,Тестирование подключения: Мерчант нажимает кнопку "Тест подключения" → Система показывает индикатор загрузки → Отображает результат теста (успех/ошибка),12,1.5,Высокий,Средняя,"syncLogId - Уникальный идентификатор лога синхронизации
integrationId - Ссылка на интеграцию
syncType - Тип синхронизации (полная/инкрементальная)
status - Статус (успешно/ошибка/в процессе)
startTime - Время начала
endTime - Время завершения
recordsProcessed - Количество обработанных записей
errorMessage - Сообщение об ошибке"
