Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Use Case ID,UC_VIDEO_MEDIA_SUPPORT_UI_001,0,0,Средний,Высокая,Media Player Video Content Streaming Analytics
USE CASE,Название,Video Media Support - User Interface,0,0,Средний,Высокая,
USE CASE,Описание,Пользовательский интерфейс для воспроизведения видео и медиа-контента с поддержкой стриминга адаптивного качества и интерактивных элементов,0,0,Средний,Высокая,
USE CASE,Primary Actor,Игрок (зритель медиа-контента),0,0,Средний,Высокая,
USE CASE,Secondary Actors,Video Streaming Service CDN System,0,0,Средний,Высокая,
USE CASE,Цель,Предоставить высококачественный интерфейс для просмотра видео и медиа с поддержкой различных форматов и адаптивного качества,0,0,Средний,Высокая,
USE CASE,Preconditions,Игрок авторизован в системе Доступ к медиа-контенту,0,0,Средний,Высокая,
USE CASE,Main Flow Step 1,Открытие медиа-плеера: Игрок нажимает на видео → Система загружает медиа-плеер → Инициализирует воспроизведение,6,0.75,Средний,Средняя,"mediaPlayerId - Уникальный идентификатор медиа-плеера
playerId - Ссылка на игрока
mediaContentId - Ссылка на медиа-контент
playerState - Состояние плеера (загрузка/воспроизведение/пауза)
quality - Качество воспроизведения
startTime - Время начала воспроизведения"
USE CASE,Main Flow Step 2,Загрузка медиа-контента: Система определяет качество соединения → Выбирает оптимальное качество → Загружает видео,12,1.5,Средний,Высокая,"mediaContentId - Уникальный идентификатор медиа-контента
contentType - Тип контента (видео/аудио/изображение)
mediaUrl - URL медиа-файла
duration - Длительность контента
qualityLevels - JSON уровни качества
thumbnailUrl - URL превью
metadata - JSON метаданные"
USE CASE,Main Flow Step 3,Управление воспроизведением: Игрок использует элементы управления → Система обрабатывает команды → Обновляет состояние плеера,8,1,Средний,Средняя,"playbackControlId - Уникальный идентификатор управления воспроизведением
playerId - Ссылка на игрока
mediaContentId - Ссылка на медиа-контент
action - Действие (play/pause/seek/volume)
timestamp - Время действия
position - Позиция воспроизведения"
USE CASE,Main Flow Step 4,Изменение качества: Игрок выбирает качество → Система переключает поток → Обновляет воспроизведение,10,1.25,Средний,Средняя,"qualityChangeId - Уникальный идентификатор изменения качества
playerId - Ссылка на игрока
mediaContentId - Ссылка на медиа-контент
oldQuality - Предыдущее качество
newQuality - Новое качество
changeTime - Время изменения
reason - Причина изменения"
USE CASE,Main Flow Step 5,Полноэкранный режим: Игрок нажимает полноэкранный режим → Система переключает интерфейс → Оптимизирует для большого экрана,6,0.75,Средний,Низкая,"fullscreenModeId - Уникальный идентификатор полноэкранного режима
playerId - Ссылка на игрока
mediaContentId - Ссылка на медиа-контент
isFullscreen - Флаг полноэкранного режима
enteredAt - Время входа в режим
exitedAt - Время выхода из режима"
USE CASE,Main Flow Step 6,Просмотр субтитров: Игрок включает субтитры → Система загружает файл субтитров → Отображает текст,8,1,Средний,Средняя,"subtitleId - Уникальный идентификатор субтитров
mediaContentId - Ссылка на медиа-контент
language - Язык субтитров
subtitleUrl - URL файла субтитров
isEnabled - Флаг включения
fontSize - Размер шрифта"
USE CASE,Main Flow Step 7,Интерактивные элементы: Система показывает интерактивные кнопки → Игрок может взаимодействовать → Получает дополнительную информацию,12,1.5,Средний,Высокая,"interactiveElementId - Уникальный идентификатор интерактивного элемента
mediaContentId - Ссылка на медиа-контент
elementType - Тип элемента (кнопка/ссылка/информация)
position - Позиция элемента (время/координаты)
content - JSON содержимое элемента
isVisible - Флаг видимости"
USE CASE,Main Flow Step 8,Сохранение прогресса: Система автоматически сохраняет позицию → Игрок может продолжить просмотр → Восстанавливает состояние,6,0.75,Средний,Низкая,"watchProgressId - Уникальный идентификатор прогресса просмотра
playerId - Ссылка на игрока
mediaContentId - Ссылка на медиа-контент
currentPosition - Текущая позиция
totalDuration - Общая длительность
watchPercentage - Процент просмотра
lastWatched - Время последнего просмотра"
USE CASE,Alternative Flow A1,Автовоспроизведение: Система автоматически запускает следующее видео → Игрок может отключить функцию → Показывает предварительный просмотр,8,1,Средний,Средняя,"autoplayId - Уникальный идентификатор автовоспроизведения
playerId - Ссылка на игрока
mediaContentId - Ссылка на медиа-контент
isEnabled - Флаг включения автовоспроизведения
nextContentId - ID следующего контента
previewDuration - Длительность превью"
USE CASE,Alternative Flow A2,Офлайн-просмотр: Игрок скачивает видео для офлайн-просмотра → Система кэширует контент → Позволяет смотреть без интернета,16,2,Средний,Высокая,"offlineContentId - Уникальный идентификатор офлайн-контента
playerId - Ссылка на игрока
mediaContentId - Ссылка на медиа-контент
downloadStatus - Статус загрузки
fileSize - Размер файла
downloadedAt - Время загрузки
expiresAt - Время истечения"
USE CASE,Alternative Flow A3,Стриминг в реальном времени: Система показывает live-трансляцию → Игрок может взаимодействовать в чате → Получает обновления в реальном времени,20,2.5,Высокий,Высокая,"liveStreamId - Уникальный идентификатор live-стрима
streamUrl - URL стрима
viewerCount - Количество зрителей
chatEnabled - Флаг включения чата
interactionEnabled - Флаг интерактивности
streamQuality - Качество стрима"
USE CASE,Alternative Flow A4,VR/AR поддержка: Игрок использует VR-устройство → Система адаптирует интерфейс → Предоставляет иммерсивный опыт,24,3,Низкий,Высокая,"vrExperienceId - Уникальный идентификатор VR-опыта
playerId - Ссылка на игрока
mediaContentId - Ссылка на медиа-контент
vrMode - Режим VR (360/3D/AR)
deviceType - Тип устройства
trackingEnabled - Флаг отслеживания движения"
USE CASE,Exception Flow E1,Ошибка загрузки: Видео не загружается → Система показывает ошибку → Предлагает альтернативные варианты,8,1,Средний,Низкая,"mediaContentId - Уникальный идентификатор медиа-контента
contentType - Тип контента (видео/аудио/изображение)
mediaUrl - URL медиа-файла
duration - Длительность контента
qualityLevels - JSON уровни качества
thumbnailUrl - URL превью
metadata - JSON метаданные"
USE CASE,Exception Flow E2,Проблемы с качеством: Качество видео низкое → Система автоматически понижает качество → Уведомляет пользователя,6,0.75,Средний,Низкая,"qualityChangeId - Уникальный идентификатор изменения качества
playerId - Ссылка на игрока
mediaContentId - Ссылка на медиа-контент
oldQuality - Предыдущее качество
newQuality - Новое качество
changeTime - Время изменения
reason - Причина изменения"
USE CASE,Exception Flow E3,Прерывание воспроизведения: Соединение прервано → Система сохраняет позицию → Предлагает возобновить просмотр,8,1,Средний,Низкая,"playbackControlId - Уникальный идентификатор управления воспроизведением
playerId - Ссылка на игрока
mediaContentId - Ссылка на медиа-контент
action - Действие (play/pause/seek/volume)
timestamp - Время действия
position - Позиция воспроизведения"
USE CASE,Postcondition Success,Медиа-контент воспроизведен Прогресс сохранен Качество оптимизировано,0,0,Средний,Высокая,"mediaPlayerId - Уникальный идентификатор медиа-плеера
playerId - Ссылка на игрока
mediaContentId - Ссылка на медиа-контент
playerState - Состояние плеера (загрузка/воспроизведение/пауза)
quality - Качество воспроизведения
startTime - Время начала воспроизведения

mediaContentId - Уникальный идентификатор медиа-контента
contentType - Тип контента (видео/аудио/изображение)
mediaUrl - URL медиа-файла
duration - Длительность контента
qualityLevels - JSON уровни качества
thumbnailUrl - URL превью
metadata - JSON метаданные

playbackControlId - Уникальный идентификатор управления воспроизведением
playerId - Ссылка на игрока
mediaContentId - Ссылка на медиа-контент
action - Действие (play/pause/seek/volume)
timestamp - Время действия
position - Позиция воспроизведения

qualityChangeId - Уникальный идентификатор изменения качества
playerId - Ссылка на игрока
mediaContentId - Ссылка на медиа-контент
oldQuality - Предыдущее качество
newQuality - Новое качество
changeTime - Время изменения
reason - Причина изменения

fullscreenModeId - Уникальный идентификатор полноэкранного режима
playerId - Ссылка на игрока
mediaContentId - Ссылка на медиа-контент
isFullscreen - Флаг полноэкранного режима
enteredAt - Время входа в режим
exitedAt - Время выхода из режима

subtitleId - Уникальный идентификатор субтитров
mediaContentId - Ссылка на медиа-контент
language - Язык субтитров
subtitleUrl - URL файла субтитров
isEnabled - Флаг включения
fontSize - Размер шрифта

interactiveElementId - Уникальный идентификатор интерактивного элемента
mediaContentId - Ссылка на медиа-контент
elementType - Тип элемента (кнопка/ссылка/информация)
position - Позиция элемента (время/координаты)
content - JSON содержимое элемента
isVisible - Флаг видимости

watchProgressId - Уникальный идентификатор прогресса просмотра
playerId - Ссылка на игрока
mediaContentId - Ссылка на медиа-контент
currentPosition - Текущая позиция
totalDuration - Общая длительность
watchPercentage - Процент просмотра
lastWatched - Время последнего просмотра

autoplayId - Уникальный идентификатор автовоспроизведения
playerId - Ссылка на игрока
mediaContentId - Ссылка на медиа-контент
isEnabled - Флаг включения автовоспроизведения
nextContentId - ID следующего контента
previewDuration - Длительность превью

liveStreamId - Уникальный идентификатор live-стрима
streamUrl - URL стрима
viewerCount - Количество зрителей
chatEnabled - Флаг включения чата
interactionEnabled - Флаг интерактивности
streamQuality - Качество стрима

analyticsId - Уникальный идентификатор аналитики
eventType - Тип события (воспроизведение/пауза/качество)
playerId - Ссылка на игрока
mediaContentId - Ссылка на медиа-контент
eventData - JSON данные события
timestamp - Время события
sessionId - ID сессии"
