Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Use Case ID,UC_LOYALTY_PROGRAM_UI_001,0,0,Высокий,Высокая,Loyalty Tier Points Reward Player Progress Analytics
USE CASE,Название,Loyalty Program - User Interface,0,0,Высокий,Высокая,
USE CASE,Описание,Пользовательский интерфейс для программы лояльности с уровнями привилегий накоплением очков и эксклюзивными наградами для игроков,0,0,Высокий,Высокая,
USE CASE,Primary Actor,Игрок (участник программы лояльности),0,0,Высокий,Высокая,
USE CASE,Secondary Actors,Система уведомлений Inventory System Payment System,0,0,Высокий,Высокая,
USE CASE,Цель,Предоставить мотивирующий интерфейс для участия в программе лояльности с четкой визуализацией прогресса и привилегий,0,0,Высокий,Высокая,
USE CASE,Preconditions,Игрок авторизован в системе Участие в программе лояльности,0,0,Высокий,Высокая,
USE CASE,Main Flow Step 1,Открытие программы лояльности: Игрок нажимает на иконку "Программа лояльности" → Система загружает дашборд → Показывает текущий уровень и прогресс,4,0.5,Высокий,Низкая,"loyaltyProgramId - Уникальный идентификатор программы лояльности
playerId - Ссылка на игрока
currentTier - Текущий уровень
totalPoints - Общее количество очков
tierPoints - Очки текущего уровня
nextTierPoints - Очки до следующего уровня
isActive - Флаг активности"
USE CASE,Main Flow Step 2,Просмотр текущего уровня: Система показывает карточку уровня → Отображает привилегии и бонусы → Показывает прогресс до следующего уровня,8,1,Высокий,Низкая,"loyaltyTierId - Уникальный идентификатор уровня лояльности
tierName - Название уровня
tierLevel - Номер уровня
requiredPoints - Необходимые очки
benefits - JSON привилегии уровня
discountPercent - Процент скидки
isActive - Флаг активности"
USE CASE,Main Flow Step 3,Просмотр истории очков: Игрок нажимает на вкладку "История" → Система показывает транзакции очков → Отображает источники получения и трат,12,1.5,Высокий,Средняя,"pointsTransactionId - Уникальный идентификатор транзакции очков
playerId - Ссылка на игрока
transactionType - Тип транзакции (начисление/списание)
pointsAmount - Количество очков
source - Источник (покупка/активность/бонус)
description - Описание транзакции
timestamp - Время транзакции"
USE CASE,Main Flow Step 4,Просмотр доступных наград: Система показывает каталог наград → Игрок может фильтровать по уровню → Видит стоимость в очках,16,2,Высокий,Средняя,"loyaltyRewardId - Уникальный идентификатор награды лояльности
rewardName - Название награды
rewardType - Тип награды (предмет/скидка/эксклюзив)
pointsCost - Стоимость в очках
tierRequirement - Требуемый уровень
description - Описание награды
isAvailable - Флаг доступности"
USE CASE,Main Flow Step 5,Обмен очков на награду: Игрок выбирает награду → Нажимает "Обменять" → Система подтверждает операцию,12,1.5,Высокий,Средняя,"rewardRedemptionId - Уникальный идентификатор обмена награды
playerId - Ссылка на игрока
rewardId - Ссылка на награду
pointsSpent - Потрачено очков
redeemedAt - Время обмена
status - Статус обмена
deliveryMethod - Способ доставки"
USE CASE,Main Flow Step 6,Просмотр привилегий уровня: Игрок нажимает на "Привилегии" → Система показывает все доступные бонусы → Отображает сравнение с другими уровнями,8,1,Высокий,Низкая,"tierBenefitId - Уникальный идентификатор привилегии уровня
tierId - Ссылка на уровень
benefitType - Тип привилегии (скидка/приоритет/эксклюзив)
benefitName - Название привилегии
benefitValue - Значение привилегии
description - Описание привилегии
isActive - Флаг активности"
USE CASE,Main Flow Step 7,Просмотр специальных предложений: Система показывает эксклюзивные предложения для уровня → Игрок может получить персональные скидки → Отображает ограниченные акции,10,1.25,Высокий,Средняя,"specialOfferId - Уникальный идентификатор специального предложения
playerId - Ссылка на игрока
offerType - Тип предложения (скидка/бонус/эксклюзив)
offerValue - Значение предложения
validUntil - Действительно до
tierRequirement - Требуемый уровень
isUsed - Флаг использования"
USE CASE,Main Flow Step 8,Просмотр статистики: Игрок нажимает на "Статистика" → Система показывает детальную аналитику → Отображает достижения и рейтинг,6,0.75,Средний,Низкая,"playerLoyaltyStatsId - Уникальный идентификатор статистики лояльности
playerId - Ссылка на игрока
totalSpent - Общая сумма трат
totalPointsEarned - Всего заработано очков
totalPointsSpent - Всего потрачено очков
averageOrderValue - Средний чек
loyaltyScore - Оценка лояльности
lastUpdated - Дата обновления"
USE CASE,Alternative Flow A1,Получение бонусных очков: Игрок совершает покупку → Система начисляет очки → Показывает уведомление о начислении,8,1,Высокий,Низкая,"pointsTransactionId - Уникальный идентификатор транзакции очков
playerId - Ссылка на игрока
transactionType - Тип транзакции (начисление/списание)
pointsAmount - Количество очков
source - Источник (покупка/активность/бонус)
description - Описание транзакции
timestamp - Время транзакции"
USE CASE,Alternative Flow A2,Повышение уровня: Игрок достигает необходимых очков → Система повышает уровень → Показывает анимацию и новые привилегии,12,1.5,Высокий,Средняя,"tierUpgradeId - Уникальный идентификатор повышения уровня
playerId - Ссылка на игрока
oldTier - Предыдущий уровень
newTier - Новый уровень
upgradedAt - Время повышения
bonusPoints - Бонусные очки за повышение
isCelebrated - Флаг празднования"
USE CASE,Alternative Flow A3,Просмотр рейтинга: Игрок нажимает на "Рейтинг" → Система показывает топ игроков → Отображает позицию игрока,6,0.75,Средний,Низкая,"loyaltyRankingId - Уникальный идентификатор рейтинга лояльности
playerId - Ссылка на игрока
currentRank - Текущая позиция
totalPlayers - Общее количество игроков
pointsDifference - Разница с предыдущим игроком
category - Категория рейтинга
lastUpdated - Дата обновления"
USE CASE,Alternative Flow A4,Персональные рекомендации: Система анализирует поведение → Показывает рекомендованные награды → Предлагает оптимальные способы трат очков,10,1.25,Средний,Средняя,"recommendationId - Уникальный идентификатор рекомендации
playerId - Ссылка на игрока
recommendationType - Тип рекомендации (награда/активность/экономия)
targetItem - Рекомендуемый предмет
reason - Причина рекомендации
priority - Приоритет рекомендации
isViewed - Флаг просмотра"
USE CASE,Exception Flow E1,Недостаточно очков: Игрок пытается обменять награду → Система показывает недостаток очков → Предлагает способы получения очков,6,0.75,Высокий,Низкая,"rewardRedemptionId - Уникальный идентификатор обмена награды
playerId - Ссылка на игрока
rewardId - Ссылка на награду
pointsSpent - Потрачено очков
redeemedAt - Время обмена
status - Статус обмена
deliveryMethod - Способ доставки"
