Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Use Case ID,UC_PROMO_CODES_UI_001,0,0,Средний,Средняя,PromoCode Discount Campaign Player Usage Analytics
USE CASE,Название,Promo Codes - User Interface,0,0,Средний,Средняя,
USE CASE,Описание,Пользовательский интерфейс для применения промокодов и получения скидок с системой валидации и отслеживания использования,0,0,Средний,Средняя,
USE CASE,Primary Actor,Игрок (пользователь промокодов),0,0,Средний,Средняя,
USE CASE,Secondary Actors,Payment System Campaign System,0,0,Средний,Средняя,
USE CASE,Цель,Предоставить простой и интуитивный интерфейс для ввода и применения промокодов с мгновенной обратной связью,0,0,Средний,Средняя,
USE CASE,Preconditions,Игрок авторизован в системе Наличие товаров в корзине,0,0,Средний,Средняя,
USE CASE,Main Flow Step 1,Открытие промокода: Игрок нажимает на поле "Промокод" → Система показывает поле ввода → Позволяет ввести код,4,0.5,Средний,Низкая,"promoCodeId - Уникальный идентификатор промокода
code - Код промокода
discountType - Тип скидки (процент/фиксированная)
discountValue - Значение скидки
validFrom - Действительно с
validTo - Действительно до
isActive - Флаг активности"
USE CASE,Main Flow Step 2,Ввод промокода: Игрок вводит промокод → Нажимает "Применить" → Система валидирует код,6,0.75,Средний,Низкая,"promoCodeId - Уникальный идентификатор промокода
code - Код промокода
discountType - Тип скидки (процент/фиксированная)
discountValue - Значение скидки
validFrom - Действительно с
validTo - Действительно до
isActive - Флаг активности"
USE CASE,Main Flow Step 3,Валидация промокода: Система проверяет валидность → Проверяет срок действия → Проверяет условия использования,8,1,Средний,Низкая,"validationId - Уникальный идентификатор валидации
promoCodeId - Ссылка на промокод
playerId - Ссылка на игрока
validationStatus - Статус валидации (валиден/невалиден/истек)
validationMessage - Сообщение валидации
validatedAt - Время валидации"
USE CASE,Main Flow Step 4,Применение скидки: Система применяет скидку → Обновляет сумму заказа → Показывает новую стоимость,8,1,Средний,Низкая,"discountApplicationId - Уникальный идентификатор применения скидки
promoCodeId - Ссылка на промокод
orderId - Ссылка на заказ
discountAmount - Размер скидки
originalAmount - Первоначальная сумма
finalAmount - Финальная сумма
appliedAt - Время применения"
USE CASE,Main Flow Step 5,Просмотр деталей скидки: Система показывает детали промокода → Отображает тип и размер скидки → Показывает условия использования,6,0.75,Средний,Низкая,"promoCodeId - Уникальный идентификатор промокода
code - Код промокода
discountType - Тип скидки (процент/фиксированная)
discountValue - Значение скидки
validFrom - Действительно с
validTo - Действительно до
isActive - Флаг активности"
USE CASE,Main Flow Step 6,Подтверждение применения: Игрок видит обновленную сумму → Подтверждает применение → Система сохраняет промокод для заказа,4,0.5,Средний,Низкая,"promoCodeUsageId - Уникальный идентификатор использования промокода
playerId - Ссылка на игрока
promoCodeId - Ссылка на промокод
orderId - Ссылка на заказ
usedAt - Время использования
discountReceived - Полученная скидка"
USE CASE,Alternative Flow A1,Просмотр доступных промокодов: Игрок нажимает "Доступные промокоды" → Система показывает активные коды → Позволяет выбрать из списка,8,1,Средний,Низкая,"availablePromoCodeId - Уникальный идентификатор доступного промокода
promoCodeId - Ссылка на промокод
playerId - Ссылка на игрока
isEligible - Флаг соответствия условиям
displayOrder - Порядок отображения
isFeatured - Флаг рекомендуемого"
USE CASE,Alternative Flow A2,Промокод для друга: Игрок получает промокод от друга → Вводит код → Получает бонус за реферала,10,1.25,Средний,Средняя,"referralPromoCodeId - Уникальный идентификатор реферального промокода
referrerPlayerId - Ссылка на пригласившего игрока
referredPlayerId - Ссылка на приглашенного игрока
promoCodeId - Ссылка на промокод
referralBonus - Бонус за реферала
usedAt - Время использования"
USE CASE,Alternative Flow A3,Персональные промокоды: Система предлагает персональные коды → Игрок получает эксклюзивные предложения → Применяет индивидуальные скидки,8,1,Средний,Низкая,"personalPromoCodeId - Уникальный идентификатор персонального промокода
playerId - Ссылка на игрока
promoCodeId - Ссылка на промокод
personalizationData - JSON данные персонализации
isExclusive - Флаг эксклюзивности
expiresAt - Время истечения"
USE CASE,Exception Flow E1,Неверный промокод: Промокод не существует → Система показывает ошибку → Предлагает проверить код,4,0.5,Средний,Низкая,"validationId - Уникальный идентификатор валидации
promoCodeId - Ссылка на промокод
playerId - Ссылка на игрока
validationStatus - Статус валидации (валиден/невалиден/истек)
validationMessage - Сообщение валидации
validatedAt - Время валидации"
USE CASE,Exception Flow E2,Истекший промокод: Промокод истек → Система показывает дату истечения → Предлагает найти активные коды,4,0.5,Средний,Низкая,"promoCodeId - Уникальный идентификатор промокода
code - Код промокода
discountType - Тип скидки (процент/фиксированная)
discountValue - Значение скидки
validFrom - Действительно с
validTo - Действительно до
isActive - Флаг активности"
USE CASE,Exception Flow E3,Промокод уже использован: Игрок пытается использовать код повторно → Система показывает ограничение → Объясняет условия использования,6,0.75,Средний,Низкая,"promoCodeUsageId - Уникальный идентификатор использования промокода
playerId - Ссылка на игрока
promoCodeId - Ссылка на промокод
orderId - Ссылка на заказ
usedAt - Время использования
discountReceived - Полученная скидка"
USE CASE,Exception Flow E4,Недостаточная сумма заказа: Минимальная сумма не достигнута → Система показывает требование → Предлагает добавить товары,6,0.75,Средний,Низкая,"promoCodeId - Уникальный идентификатор промокода
code - Код промокода
discountType - Тип скидки (процент/фиксированная)
discountValue - Значение скидки
validFrom - Действительно с
validTo - Действительно до
isActive - Флаг активности"
USE CASE,Postcondition Success,Промокод успешно применен Скидка рассчитана Сумма заказа обновлена,0,0,Средний,Средняя,"discountApplicationId - Уникальный идентификатор применения скидки
promoCodeId - Ссылка на промокод
orderId - Ссылка на заказ
discountAmount - Размер скидки
originalAmount - Первоначальная сумма
finalAmount - Финальная сумма
appliedAt - Время применения

promoCodeUsageId - Уникальный идентификатор использования промокода
playerId - Ссылка на игрока
promoCodeId - Ссылка на промокод
orderId - Ссылка на заказ
usedAt - Время использования
discountReceived - Полученная скидка

validationId - Уникальный идентификатор валидации
promoCodeId - Ссылка на промокод
playerId - Ссылка на игрока
validationStatus - Статус валидации (валиден/невалиден/истек)
validationMessage - Сообщение валидации
validatedAt - Время валидации

promoCodeId - Уникальный идентификатор промокода
code - Код промокода
discountType - Тип скидки (процент/фиксированная)
discountValue - Значение скидки
validFrom - Действительно с
validTo - Действительно до
isActive - Флаг активности

campaignId - Уникальный идентификатор кампании
promoCodeId - Ссылка на промокод
campaignName - Название кампании
campaignType - Тип кампании (промо/реклама/партнерство)
targetAudience - JSON целевая аудитория
isActive - Флаг активности

analyticsId - Уникальный идентификатор аналитики
eventType - Тип события (применение/ошибка/просмотр)
playerId - Ссылка на игрока
promoCodeId - Ссылка на промокод
eventData - JSON данные события
timestamp - Время события"
USE CASE,Postcondition Failure,Промокод не применен Скидка не рассчитана Игрок получает сообщение об ошибке,0,0,Средний,Средняя,"validationId - Уникальный идентификатор валидации
promoCodeId - Ссылка на промокод
playerId - Ссылка на игрока
validationStatus - Статус валидации (валиден/невалиден/истек)
validationMessage - Сообщение валидации
validatedAt - Время валидации"
USE CASE,Ключевые метрики,Процент успешного применения Время валидации Удовлетворенность пользователей,0,0,Средний,Средняя,"analyticsId - Уникальный идентификатор аналитики
eventType - Тип события (применение/ошибка/просмотр)
playerId - Ссылка на игрока
promoCodeId - Ссылка на промокод
eventData - JSON данные события
timestamp - Время события"
USE CASE,Приоритет,Средний,0,0,Средний,Средняя,
USE CASE,Сложность,Средняя,0,0,Средний,Средняя,
USE CASE,Зависимости,PromoCode Validator Discount Calculator Payment Integration,0,0,Средний,Средняя,
USE CASE,Общая оценка (Use Case),,74,9.25,Средний,Средняя,
