Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Use Case ID,UC_LIVEOPS_AUTOMATION_UI_001,0,0,Высокий,Высокая,Automation Workflow Event Trigger Action Analytics
USE CASE,Название,LiveOps Automation - User Interface,0,0,Высокий,Высокая,
USE CASE,Описание,Пользовательский интерфейс для создания и управления автоматизированными игровыми событиями и маркетинговыми кампаниями в реальном времени,0,0,Высокий,Высокая,
USE CASE,Primary Actor,Мерчант (гейм-дизайнер менеджер по LiveOps),0,0,Высокий,Высокая,
USE CASE,Secondary Actors,Event System Game Engine Analytics System,0,0,Высокий,Высокая,
USE CASE,Цель,Предоставить инструменты для автоматизации игровых событий и маркетинговых кампаний с возможностью настройки сложных сценариев,0,0,Высокий,Высокая,
USE CASE,Preconditions,Мерчант авторизован в системе Доступ к разделу LiveOps Automation,0,0,Высокий,Высокая,
USE CASE,Main Flow Step 1,Открытие LiveOps панели: Мерчант нажимает на меню "Personalization" → Выбирает "LiveOps Automation" → Система загружает дашборд автоматизации,4,0.5,Высокий,Низкая,"automationId - Уникальный идентификатор автоматизации
name - Название автоматизации
description - Описание автоматизации
status - Статус (активна/пауза/завершена)
type - Тип автоматизации (событие/кампания/уведомление)
createdAt - Дата создания
updatedAt - Дата обновления"
USE CASE,Main Flow Step 2,Просмотр активных автоматизаций: Система показывает карточки активных автоматизаций → Мерчант видит статус и статистику → Может нажать для деталей,8,1,Высокий,Низкая,"automationId - Уникальный идентификатор автоматизации
name - Название автоматизации
description - Описание автоматизации
status - Статус (активна/пауза/завершена)
type - Тип автоматизации (событие/кампания/уведомление)
createdAt - Дата создания
updatedAt - Дата обновления"
USE CASE,Main Flow Step 3,Создание нового сценария: Мерчант нажимает кнопку "Создать сценарий" → Система открывает конструктор сценариев → Показывает библиотеку блоков,12,1.5,Высокий,Средняя,"scenarioId - Уникальный идентификатор сценария
automationId - Ссылка на автоматизацию
name - Название сценария
description - Описание сценария
workflow - JSON workflow сценария
isActive - Флаг активности
createdAt - Дата создания"
USE CASE,Main Flow Step 4,Выбор типа автоматизации: Мерчант выбирает тип из списка (Event-driven/Time-based/Condition-based) → Система показывает специфичные настройки → Обновляет интерфейс,8,1,Высокий,Низкая,"automationTypeId - Уникальный идентификатор типа автоматизации
name - Название типа
description - Описание типа
category - Категория (игровые/маркетинговые/системные)
parameters - JSON параметры
isEventDriven - Флаг событийной автоматизации
createdAt - Дата создания"
USE CASE,Main Flow Step 5,Настройка триггеров: Мерчант добавляет блоки триггеров → Настраивает условия активации → Соединяет с действиями,16,2,Высокий,Средняя,"triggerId - Уникальный идентификатор триггера
scenarioId - Ссылка на сценарий
triggerType - Тип триггера (событие/время/условие)
triggerName - Название триггера
conditions - JSON условия активации
parameters - JSON параметры
isActive - Флаг активности"
USE CASE,Main Flow Step 6,Создание игровых событий: Мерчант создает игровые события → Настраивает правила и награды → Добавляет визуальные эффекты,20,2.5,Высокий,Высокая,"gameEventId - Уникальный идентификатор игрового события
scenarioId - Ссылка на сценарий
eventType - Тип события (турнир/акция/сезон)
eventName - Название события
description - Описание события
startTime - Время начала
endTime - Время окончания
rewards - JSON награды
isActive - Флаг активности"
USE CASE,Main Flow Step 7,Настройка маркетинговых кампаний: Мерчант создает кампании → Настраивает таргетинг → Добавляет персонализацию,16,2,Высокий,Средняя,"campaignId - Уникальный идентификатор кампании
scenarioId - Ссылка на сценарий
campaignType - Тип кампании (промо/скидка/бонус)
targetAudience - JSON целевая аудитория
content - JSON контент кампании
budget - Бюджет кампании
metrics - JSON метрики
isActive - Флаг активности"
USE CASE,Main Flow Step 8,Создание уведомлений: Мерчант настраивает уведомления → Выбирает каналы доставки → Персонализирует контент,12,1.5,Высокий,Средняя,"notificationId - Уникальный идентификатор уведомления
scenarioId - Ссылка на сценарий
notificationType - Тип уведомления (push/email/in-game)
title - Заголовок уведомления
content - Содержимое уведомления
deliveryChannels - JSON каналы доставки
personalization - JSON персонализация
isActive - Флаг активности"
USE CASE,Main Flow Step 9,Тестирование сценария: Мерчант нажимает "Тестировать" → Система запускает симуляцию → Показывает результаты выполнения,8,1,Высокий,Низкая,"testId - Уникальный идентификатор теста
scenarioId - Ссылка на сценарий
testType - Тип теста (симуляция/A/B)
testData - JSON тестовые данные
testResult - JSON результат теста
executionTime - Время выполнения
testedAt - Время тестирования"
USE CASE,Main Flow Step 10,Запуск автоматизации: Мерчант нажимает "Запустить" → Система активирует сценарий → Начинает мониторинг выполнения,8,1,Высокий,Низкая,"automationId - Уникальный идентификатор автоматизации
name - Название автоматизации
description - Описание автоматизации
status - Статус (активна/пауза/завершена)
type - Тип автоматизации (событие/кампания/уведомление)
createdAt - Дата создания
updatedAt - Дата обновления"
USE CASE,Alternative Flow A1,Редактирование сценария: Мерчант кликает на сценарий → Система открывает конструктор → Позволяет изменить блоки,12,1.5,Высокий,Средняя,"scenarioId - Уникальный идентификатор сценария
automationId - Ссылка на автоматизацию
name - Название сценария
description - Описание сценария
workflow - JSON workflow сценария
isActive - Флаг активности
createdAt - Дата создания"
USE CASE,Alternative Flow A2,Копирование сценария: Мерчант нажимает "Дублировать" → Система создает копию → Открывает конструктор для редактирования,8,1,Средний,Низкая,"scenarioId - Уникальный идентификатор сценария
automationId - Ссылка на автоматизацию
name - Название сценария
description - Описание сценария
workflow - JSON workflow сценария
isActive - Флаг активности
createdAt - Дата создания"
USE CASE,Alternative Flow A3,Использование шаблона: Мерчант нажимает "Использовать шаблон" → Система показывает галерею шаблонов → Позволяет выбрать готовый сценарий,10,1.25,Средний,Низкая,"templateId - Уникальный идентификатор шаблона
name - Название шаблона
description - Описание шаблона
category - Категория шаблона
workflow - JSON workflow шаблона
isActive - Флаг активности
createdAt - Дата создания"
USE CASE,Alternative Flow A4,Просмотр аналитики: Мерчант нажимает на иконку "Аналитика" → Система открывает панель метрик → Показывает эффективность автоматизации,10,1.25,Средний,Низкая,"analyticsId - Уникальный идентификатор аналитики
automationId - Ссылка на автоматизацию
metricType - Тип метрики (выполнения/эффективности/ошибок)
metricValue - Значение метрики
period - Период измерения
lastUpdated - Дата последнего обновления"
USE CASE,Alternative Flow A5,Массовое управление: Мерчант выбирает несколько автоматизаций → Нажимает "Массовые действия" → Выполняет операции (пауза/активация/удаление),8,1,Средний,Низкая,"batchOperationId - Уникальный идентификатор массовой операции
operationType - Тип операции (пауза/активация/удаление)
automationIds - Список ID автоматизаций
status - Статус выполнения
executedAt - Время выполнения"
USE CASE,Exception Flow E1,Ошибка выполнения: Сценарий не может быть выполнен → Система показывает ошибку → Предлагает исправить проблему,8,1,Высокий,Низкая,"executionId - Уникальный идентификатор выполнения
scenarioId - Ссылка на сценарий
executionStatus - Статус выполнения
errorMessage - Сообщение об ошибке
executedAt - Время выполнения
duration - Длительность выполнения"
USE CASE,Exception Flow E2,Конфликт событий: События конфликтуют друг с другом → Система показывает предупреждение → Предлагает оптимизировать расписание,10,1.25,Высокий,Средняя,"conflictId - Уникальный идентификатор конфликта
scenarioId1 - ID первого сценария
scenarioId2 - ID второго сценария
conflictType - Тип конфликта
severity - Серьезность конфликта
resolvedAt - Время разрешения"
