Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Use Case ID,UC_ABANDONED_CART_OFFERS_UI_001,0,0,Высокий,Высокая,Cart Reminder Offer Notification Analytics
USE CASE,Название,Abandoned Cart Offers - User Interface,0,0,Высокий,Высокая,
USE CASE,Описание,Пользовательский интерфейс для настройки и управления автоматическими предложениями и напоминаниями для игроков с брошенными корзинами,0,0,Высокий,Высокая,
USE CASE,Primary Actor,Мерчант (маркетолог менеджер по удержанию),0,0,Высокий,Высокая,
USE CASE,Secondary Actors,Система уведомлений Email Service Push Service,0,0,Высокий,Высокая,
USE CASE,Цель,Предоставить инструменты для автоматического возврата игроков с брошенными корзинами через персонализированные предложения и напоминания,0,0,Высокий,Высокая,
USE CASE,Preconditions,Мерчант авторизован в системе Доступ к разделу Abandoned Cart Offers,0,0,Высокий,Высокая,
USE CASE,Main Flow Step 1,Открытие управления брошенными корзинами: Мерчант нажимает на меню "Personalization" → Выбирает "Abandoned Cart Offers" → Система загружает дашборд,4,0.5,Высокий,Низкая,"cartId - Уникальный идентификатор корзины
playerId - Ссылка на игрока
items - Список товаров в корзине
totalAmount - Общая сумма
currency - Валюта
createdAt - Дата создания
updatedAt - Дата обновления"
USE CASE,Main Flow Step 2,Просмотр активных кампаний: Система показывает список активных кампаний → Мерчант видит статистику эффективности → Может нажать для деталей,8,1,Высокий,Низкая,"campaignId - Уникальный идентификатор кампании
name - Название кампании
type - Тип кампании (email/push/in-app)
status - Статус (активна/пауза/завершена)
conversionRate - Конверсия
totalSent - Всего отправлено
createdAt - Дата создания"
USE CASE,Main Flow Step 3,Создание новой кампании: Мерчант нажимает кнопку "Создать кампанию" → Система открывает мастер создания → Показывает шаги настройки,12,1.5,Высокий,Средняя,"campaignId - Уникальный идентификатор кампании
name - Название кампании
type - Тип кампании (email/push/in-app)
status - Статус (активна/пауза/завершена)
conversionRate - Конверсия
totalSent - Всего отправлено
createdAt - Дата создания"
USE CASE,Main Flow Step 4,Настройка триггеров: Мерчант настраивает временные триггеры → Устанавливает интервалы отправки → Выбирает условия активации,16,2,Высокий,Средняя,"triggerId - Уникальный идентификатор триггера
campaignId - Ссылка на кампанию
triggerType - Тип триггера (время/событие)
delayMinutes - Задержка в минутах
conditions - JSON условия активации
isActive - Флаг активности
lastTriggered - Дата последнего срабатывания"
USE CASE,Main Flow Step 5,Создание напоминаний: Мерчант создает серию напоминаний → Настраивает текст и стиль → Добавляет персонализацию,20,2.5,Высокий,Высокая,"reminderId - Уникальный идентификатор напоминания
campaignId - Ссылка на кампанию
sequence - Порядок в последовательности
delayHours - Задержка в часах
title - Заголовок напоминания
content - Содержимое напоминания
personalization - JSON персонализация
isActive - Флаг активности"
USE CASE,Main Flow Step 6,Настройка предложений: Мерчант создает персонализированные предложения → Настраивает скидки и бонусы → Добавляет эксклюзивный контент,16,2,Высокий,Средняя,"offerId - Уникальный идентификатор предложения
campaignId - Ссылка на кампанию
offerType - Тип предложения (скидка/бонус/контент)
discountPercent - Процент скидки
bonusAmount - Размер бонуса
exclusiveContent - Эксклюзивный контент
validUntil - Действительно до
isPersonalized - Флаг персонализации"
USE CASE,Main Flow Step 7,Настройка каналов доставки: Мерчант выбирает каналы → Настраивает email/push/in-app → Тестирует доставку,12,1.5,Высокий,Средняя,"deliveryId - Уникальный идентификатор доставки
campaignId - Ссылка на кампанию
channel - Канал доставки (email/push/in-app)
templateId - ID шаблона
settings - JSON настройки канала
isActive - Флаг активности
lastUsed - Дата последнего использования"
USE CASE,Main Flow Step 8,Предварительный просмотр: Мерчант нажимает "Предпросмотр" → Система показывает как будет выглядеть кампания → Позволяет протестировать на тестовых данных,8,1,Высокий,Низкая,"previewId - Уникальный идентификатор предпросмотра
campaignId - Ссылка на кампанию
previewType - Тип предпросмотра (email/push/in-app)
testData - JSON тестовые данные
generatedAt - Время генерации
status - Статус генерации"
USE CASE,Main Flow Step 9,Запуск кампании: Мерчант нажимает "Запустить" → Система активирует кампанию → Начинает отслеживание брошенных корзин,8,1,Высокий,Низкая,"campaignId - Уникальный идентификатор кампании
name - Название кампании
type - Тип кампании (email/push/in-app)
status - Статус (активна/пауза/завершена)
conversionRate - Конверсия
totalSent - Всего отправлено
createdAt - Дата создания"
USE CASE,Alternative Flow A1,Редактирование кампании: Мерчант кликает на кампанию → Система открывает редактор → Позволяет изменить настройки,12,1.5,Высокий,Средняя,"campaignId - Уникальный идентификатор кампании
name - Название кампании
type - Тип кампании (email/push/in-app)
status - Статус (активна/пауза/завершена)
conversionRate - Конверсия
totalSent - Всего отправлено
createdAt - Дата создания"
USE CASE,Alternative Flow A2,A/B тестирование: Мерчант нажимает "A/B тест" → Система создает варианты → Настраивает разделение трафика,16,2,Средний,Высокая,"abTestId - Уникальный идентификатор A/B теста
campaignId - Ссылка на кампанию
variantA - Вариант A
variantB - Вариант B
trafficSplit - Разделение трафика (50/50)
status - Статус теста
startDate - Дата начала"
USE CASE,Alternative Flow A3,Просмотр аналитики: Мерчант нажимает на иконку "Аналитика" → Система открывает панель метрик → Показывает детальную статистику,10,1.25,Средний,Низкая,"analyticsId - Уникальный идентификатор аналитики
campaignId - Ссылка на кампанию
metricType - Тип метрики (отправки/конверсии/дохода)
metricValue - Значение метрики
period - Период измерения
lastUpdated - Дата последнего обновления"
USE CASE,Alternative Flow A4,Массовые операции: Мерчант выбирает несколько кампаний → Нажимает "Массовые действия" → Выполняет операции (пауза/активация/удаление),8,1,Средний,Низкая,"batchOperationId - Уникальный идентификатор массовой операции
operationType - Тип операции (пауза/активация/удаление)
campaignIds - Список ID кампаний
status - Статус выполнения
executedAt - Время выполнения"
USE CASE,Exception Flow E1,Ошибка доставки: Сообщение не может быть отправлено → Система показывает ошибку → Предлагает альтернативные каналы,8,1,Высокий,Низкая,"deliveryId - Уникальный идентификатор доставки
campaignId - Ссылка на кампанию
channel - Канал доставки (email/push/in-app)
templateId - ID шаблона
settings - JSON настройки канала
isActive - Флаг активности
lastUsed - Дата последнего использования"
USE CASE,Exception Flow E2,Недостаточно данных: Для персонализации недостаточно данных → Система показывает предупреждение → Предлагает использовать стандартные шаблоны,6,0.75,Высокий,Низкая,"reminderId - Уникальный идентификатор напоминания
campaignId - Ссылка на кампанию
sequence - Порядок в последовательности
delayHours - Задержка в часах
title - Заголовок напоминания
content - Содержимое напоминания
personalization - JSON персонализация
isActive - Флаг активности"
USE CASE,Exception Flow E3,Конфликт расписания: Триггеры конфликтуют друг с другом → Система показывает предупреждение → Предлагает оптимизировать расписание,8,1,Средний,Низкая,"triggerId - Уникальный идентификатор триггера
campaignId - Ссылка на кампанию
triggerType - Тип триггера (время/событие)
delayMinutes - Задержка в минутах
conditions - JSON условия активации
isActive - Флаг активности
lastTriggered - Дата последнего срабатывания"
USE CASE,Postcondition Success,Кампания создана и запущена Триггеры настроены Напоминания отправляются автоматически,0,0,Высокий,Высокая,"campaignId - Уникальный идентификатор кампании
name - Название кампании
type - Тип кампании (email/push/in-app)
status - Статус (активна/пауза/завершена)
conversionRate - Конверсия
totalSent - Всего отправлено
createdAt - Дата создания

triggerId - Уникальный идентификатор триггера
campaignId - Ссылка на кампанию
triggerType - Тип триггера (время/событие)
delayMinutes - Задержка в минутах
conditions - JSON условия активации
isActive - Флаг активности
lastTriggered - Дата последнего срабатывания

reminderId - Уникальный идентификатор напоминания
campaignId - Ссылка на кампанию
sequence - Порядок в последовательности
delayHours - Задержка в часах
title - Заголовок напоминания
content - Содержимое напоминания
personalization - JSON персонализация
isActive - Флаг активности

offerId - Уникальный идентификатор предложения
campaignId - Ссылка на кампанию
offerType - Тип предложения (скидка/бонус/контент)
discountPercent - Процент скидки
bonusAmount - Размер бонуса
exclusiveContent - Эксклюзивный контент
validUntil - Действительно до
isPersonalized - Флаг персонализации

deliveryId - Уникальный идентификатор доставки
campaignId - Ссылка на кампанию
channel - Канал доставки (email/push/in-app)
templateId - ID шаблона
settings - JSON настройки канала
isActive - Флаг активности
lastUsed - Дата последнего использования

cartId - Уникальный идентификатор корзины
playerId - Ссылка на игрока
items - Список товаров в корзине
totalAmount - Общая сумма
currency - Валюта
createdAt - Дата создания
updatedAt - Дата обновления

analyticsId - Уникальный идентификатор аналитики
campaignId - Ссылка на кампанию
metricType - Тип метрики (отправки/конверсии/дохода)
metricValue - Значение метрики
period - Период измерения
lastUpdated - Дата последнего обновления"
USE CASE,Postcondition Failure,Кампания не создана или содержит ошибки Данные сохраняются как черновик Мерчант получает уведомление об ошибке,0,0,Высокий,Высокая,"campaignId - Уникальный идентификатор кампании
name - Название кампании
type - Тип кампании (email/push/in-app)
status - Статус (активна/пауза/завершена)
conversionRate - Конверсия
totalSent - Всего отправлено
createdAt - Дата создания"
USE CASE,Ключевые метрики,Конверсия напоминаний ROI кампании Время восстановления корзин,0,0,Высокий,Высокая,"analyticsId - Уникальный идентификатор аналитики
campaignId - Ссылка на кампанию
metricType - Тип метрики (отправки/конверсии/дохода)
metricValue - Значение метрики
period - Период измерения
lastUpdated - Дата последнего обновления"
USE CASE,Приоритет,Высокий,0,0,Высокий,Высокая,
USE CASE,Сложность,Высокая,0,0,Высокий,Высокая,
USE CASE,Зависимости,Notification Service Email Template Engine Push Service Analytics Dashboard,0,0,Высокий,Высокая,
USE CASE,Общая оценка (Use Case),,114,14.25,Высокий,Высокая,



