Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Use Case ID,UC_RULE_BUILDER_UI_001,0,0,Высокий,Высокая,Rule Trigger Condition Action Segment Analytics
USE CASE,Название,Rule Builder - User Interface,0,0,Высокий,Высокая,
USE CASE,Описание,Пользовательский интерфейс для создания и настройки правил персонализации через визуальный конструктор с drag & drop функциональностью,0,0,Высокий,Высокая,
USE CASE,Primary Actor,Мерчант (маркетолог аналитик по персонализации),0,0,Высокий,Высокая,
USE CASE,Secondary Actors,Система уведомлений,0,0,Высокий,Высокая,
USE CASE,Цель,Предоставить интуитивный визуальный конструктор для создания сложных правил персонализации без технических знаний,0,0,Высокий,Высокая,
USE CASE,Preconditions,Мерчант авторизован в системе Доступ к разделу Rule Builder,0,0,Высокий,Высокая,
USE CASE,Main Flow Step 1,Открытие конструктора правил: Мерчант нажимает на меню "Personalization" → Выбирает "Rule Builder" → Система загружает конструктор,4,0.5,Высокий,Низкая,"ruleId - Уникальный идентификатор правила
name - Название правила
description - Описание правила
status - Статус (активно/неактивно/черновик)
type - Тип правила (триггер/условие/действие)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор правила"
USE CASE,Main Flow Step 2,Выбор шаблона правила: Система показывает галерею шаблонов правил → Мерчант просматривает варианты → Выбирает подходящий шаблон,8,1,Высокий,Низкая,"templateId - Уникальный идентификатор шаблона
name - Название шаблона
description - Описание шаблона
category - Категория шаблона
ruleStructure - JSON структура правила
isActive - Флаг активности
createdAt - Дата создания"
USE CASE,Main Flow Step 3,Открытие рабочего пространства: Система загружает выбранный шаблон → Показывает панель блоков слева → Отображает рабочую область по центру,12,1.5,Высокий,Средняя,"workspaceId - Уникальный идентификатор рабочего пространства
ruleId - Ссылка на правило
layout - JSON макет блоков
gridSize - Размер сетки
snapToGrid - Флаг привязки к сетке
zoomLevel - Уровень масштабирования"
USE CASE,Main Flow Step 4,Добавление блока триггера: Мерчант перетаскивает блок "Триггер" → Система показывает область размещения → Блок появляется на рабочей области,16,2,Высокий,Средняя,"triggerId - Уникальный идентификатор триггера
ruleId - Ссылка на правило
triggerType - Тип триггера (время/событие/сегмент)
triggerName - Название триггера
parameters - JSON параметры
isActive - Флаг активности
lastTriggered - Дата последнего срабатывания"
USE CASE,Main Flow Step 5,Настройка условий: Мерчант добавляет блок "Условие" → Настраивает логические операторы → Указывает критерии выполнения,20,2.5,Высокий,Высокая,"conditionId - Уникальный идентификатор условия
ruleId - Ссылка на правило
conditionType - Тип условия (если/и/или)
fieldName - Название поля
operator - Оператор сравнения
value - Значение для сравнения
isRequired - Флаг обязательности"
USE CASE,Main Flow Step 6,Добавление действий: Мерчант перетаскивает блок "Действие" → Выбирает тип действия → Настраивает параметры выполнения,16,2,Высокий,Средняя,"actionId - Уникальный идентификатор действия
ruleId - Ссылка на правило
actionType - Тип действия (отправка/показ/изменение)
actionName - Название действия
parameters - JSON параметры
priority - Приоритет выполнения
isAsync - Флаг асинхронности"
USE CASE,Main Flow Step 7,Соединение блоков: Мерчант соединяет блоки линиями → Система показывает связи → Валидирует логику соединения,12,1.5,Высокий,Средняя,"connectionId - Уникальный идентификатор соединения
fromBlockId - ID исходного блока
toBlockId - ID целевого блока
connectionType - Тип соединения (последовательный/параллельный)
isActive - Флаг активности"
USE CASE,Main Flow Step 8,Тестирование правила: Мерчант нажимает "Тестировать" → Система показывает симуляцию → Отображает результат выполнения,8,1,Высокий,Низкая,"testId - Уникальный идентификатор теста
ruleId - Ссылка на правило
testData - JSON тестовые данные
testResult - Результат тестирования
executionTime - Время выполнения
testedAt - Время тестирования"
USE CASE,Main Flow Step 9,Сохранение правила: Мерчант нажимает кнопку "Сохранить" → Система показывает подтверждение → Сохраняет правило,8,1,Высокий,Низкая,"ruleId - Уникальный идентификатор правила
name - Название правила
description - Описание правила
status - Статус (активно/неактивно/черновик)
type - Тип правила (триггер/условие/действие)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор правила"
USE CASE,Alternative Flow A1,Редактирование существующего правила: Мерчант выбирает правило из списка → Система загружает в конструктор → Позволяет изменить блоки,12,1.5,Высокий,Средняя,"ruleId - Уникальный идентификатор правила
name - Название правила
description - Описание правила
status - Статус (активно/неактивно/черновик)
type - Тип правила (триггер/условие/действие)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор правила"
USE CASE,Alternative Flow A2,Копирование правила: Мерчант нажимает "Дублировать" → Система создает копию → Открывает в конструкторе,8,1,Средний,Низкая,"ruleId - Уникальный идентификатор правила
name - Название правила
description - Описание правила
status - Статус (активно/неактивно/черновик)
type - Тип правила (триггер/условие/действие)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор правила"
USE CASE,Alternative Flow A3,Импорт правила: Мерчант нажимает "Импорт" → Система открывает файловый менеджер → Позволяет загрузить JSON файл с правилом,10,1.25,Средний,Низкая,"importId - Уникальный идентификатор импорта
fileName - Название файла
fileSize - Размер файла
importStatus - Статус импорта
importedAt - Время импорта
errors - Список ошибок"
USE CASE,Exception Flow E1,Ошибка валидации логики: Система обнаруживает некорректную логику → Подсвечивает проблемные блоки → Показывает сообщения об ошибках,8,1,Высокий,Низкая,"ruleId - Уникальный идентификатор правила
name - Название правила
description - Описание правила
status - Статус (активно/неактивно/черновик)
type - Тип правила (триггер/условие/действие)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор правила"
USE CASE,Exception Flow E2,Конфликт правил: Система обнаруживает конфликт между правилами → Показывает предупреждение → Предлагает варианты решения,10,1.25,Высокий,Средняя,"conflictId - Уникальный идентификатор конфликта
ruleId1 - ID первого правила
ruleId2 - ID второго правила
conflictType - Тип конфликта
severity - Серьезность конфликта
resolvedAt - Время разрешения"
USE CASE,Exception Flow E3,Ошибка выполнения: Правило не может быть выполнено → Система показывает детали ошибки → Предлагает исправить проблему,8,1,Высокий,Низкая,"executionId - Уникальный идентификатор выполнения
ruleId - Ссылка на правило
executionStatus - Статус выполнения
errorMessage - Сообщение об ошибке
executedAt - Время выполнения
duration - Длительность выполнения"
USE CASE,Postcondition Success,Правило создано и сохранено Блоки соединены и настроены Логика валидна,0,0,Высокий,Высокая,"ruleId - Уникальный идентификатор правила
name - Название правила
description - Описание правила
status - Статус (активно/неактивно/черновик)
type - Тип правила (триггер/условие/действие)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор правила

triggerId - Уникальный идентификатор триггера
ruleId - Ссылка на правило
triggerType - Тип триггера (время/событие/сегмент)
triggerName - Название триггера
parameters - JSON параметры
isActive - Флаг активности
lastTriggered - Дата последнего срабатывания

conditionId - Уникальный идентификатор условия
ruleId - Ссылка на правило
conditionType - Тип условия (если/и/или)
fieldName - Название поля
operator - Оператор сравнения
value - Значение для сравнения
isRequired - Флаг обязательности

actionId - Уникальный идентификатор действия
ruleId - Ссылка на правило
actionType - Тип действия (отправка/показ/изменение)
actionName - Название действия
parameters - JSON параметры
priority - Приоритет выполнения
isAsync - Флаг асинхронности

segmentId - Уникальный идентификатор сегмента
name - Название сегмента
description - Описание сегмента
criteria - JSON критерии сегментации
playerCount - Количество игроков в сегменте
isActive - Флаг активности
createdAt - Дата создания

analyticsId - Уникальный идентификатор аналитики
ruleId - Ссылка на правило
metricType - Тип метрики (срабатывания/конверсии/ошибки)
metricValue - Значение метрики
period - Период измерения
lastUpdated - Дата последнего обновления"
USE CASE,Postcondition Failure,Правило не создано или содержит ошибки Данные сохраняются как черновик Мерчант получает уведомление об ошибке,0,0,Высокий,Высокая,"ruleId - Уникальный идентификатор правила
name - Название правила
description - Описание правила
status - Статус (активно/неактивно/черновик)
type - Тип правила (триггер/условие/действие)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор правила"
USE CASE,Ключевые метрики,Время создания правила Количество блоков Сложность логики,0,0,Высокий,Высокая,"analyticsId - Уникальный идентификатор аналитики
ruleId - Ссылка на правило
metricType - Тип метрики (срабатывания/конверсии/ошибки)
metricValue - Значение метрики
period - Период измерения
lastUpdated - Дата последнего обновления"
USE CASE,Приоритет,Высокий,0,0,Высокий,Высокая,
USE CASE,Сложность,Высокая,0,0,Высокий,Высокая,
USE CASE,Зависимости,Visual Rule Builder Drag & Drop Engine Logic Validator Block Library,0,0,Высокий,Высокая,
USE CASE,Общая оценка (Use Case),,96,12,Высокий,Высокая,



