Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Use Case ID,UC_SKU_MANAGEMENT_LOCALIZE_PRICING_001,0,0,Высокий,Высокая,Pricing Localization Currency ExchangeRate Product Region Analytics
USE CASE,Название,SKU Management - Localize Pricing,0,0,Высокий,Высокая,
USE CASE,Описание,Мерчант настраивает цены на товары для разных регионов и валют учитывая местные особенности рынка налоговые ставки и покупательную способность,0,0,Высокий,Высокая,
USE CASE,Primary Actor,Мерчант (финансовый менеджер аналитик по ценообразованию),0,0,Высокий,Высокая,
USE CASE,Secondary Actors,Currency Exchange Service Tax Calculation Service Analytics Module,0,0,Высокий,Высокая,
USE CASE,Цель,Обеспечить оптимальное ценообразование для каждого региона с учетом валютных курсов налогов и местной конкуренции для максимизации доходов,0,0,Высокий,Высокая,
USE CASE,Preconditions,Мерчант авторизован в системе Настроены валютные курсы Определены налоговые ставки по регионам,0,0,Высокий,Высокая,
USE CASE,Main Flow Step 1,Выбор товара для локализации: Мерчант заходит в раздел "Pricing Localization" → Выбирает товар из каталога → Система показывает текущие цены по регионам,8,1,Высокий,Низкая,"pricingId - Уникальный идентификатор цены
productId - Ссылка на товар
basePrice - Базовая цена
currency - Валюта
region - Регион
discountPercent - Процент скидки
salePrice - Цена со скидкой
validFrom - Действительно с
validTo - Действительно до
isActive - Флаг активности

productId - Уникальный идентификатор товара
name - Название товара
description - Описание товара
type - Тип товара (скин/оружие/предмет)
status - Статус (активен/неактивен/черновик)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор товара"
USE CASE,Main Flow Step 2,Настройка базовой цены: Мерчант устанавливает базовую цену в основной валюте → Система рассчитывает эквивалент в других валютах → Показывает предварительные цены,12,1.5,Высокий,Средняя,"pricingId - Уникальный идентификатор цены
productId - Ссылка на товар
basePrice - Базовая цена
currency - Валюта
region - Регион
discountPercent - Процент скидки
salePrice - Цена со скидкой
validFrom - Действительно с
validTo - Действительно до
isActive - Флаг активности

currencyId - Уникальный идентификатор валюты
code - Код валюты (USD/EUR/RUB)
name - Название валюты
symbol - Символ валюты
decimalPlaces - Количество знаков после запятой
isActive - Флаг активности"
USE CASE,Main Flow Step 3,Адаптация под регионы: Мерчант настраивает региональные коэффициенты → Учитывает покупательную способность → Применяет местные скидки и надбавки,20,2.5,Высокий,Высокая,"localizationId - Уникальный идентификатор локализации
productId - Ссылка на товар
language - Язык
region - Регион
localizedName - Локализованное название
localizedDescription - Локализованное описание
culturalAdaptations - Культурные адаптации
lastUpdated - Дата последнего обновления

regionId - Уникальный идентификатор региона
name - Название региона
countryCode - Код страны
currency - Основная валюта региона
taxRate - Налоговая ставка
purchasingPowerIndex - Индекс покупательной способности
culturalFactors - Культурные факторы"
USE CASE,Main Flow Step 4,Учет налогов и сборов: Система рассчитывает налоги по каждому региону → Мерчант корректирует цены с учетом налогов → Настраивает отображение цен с налогом и без,16,2,Высокий,Высокая,"localizationId - Уникальный идентификатор локализации
productId - Ссылка на товар
language - Язык
region - Регион
localizedName - Локализованное название
localizedDescription - Локализованное описание
culturalAdaptations - Культурные адаптации
lastUpdated - Дата последнего обновления"
USE CASE,Main Flow Step 5,Валютное округление: Мерчант настраивает правила округления цен → Система применяет психологические цены (99 199) → Адаптирует под местные предпочтения,12,1.5,Высокий,Средняя,"pricingId - Уникальный идентификатор цены
productId - Ссылка на товар
basePrice - Базовая цена
currency - Валюта
region - Регион
discountPercent - Процент скидки
salePrice - Цена со скидкой
validFrom - Действительно с
validTo - Действительно до
isActive - Флаг активности

currencyId - Уникальный идентификатор валюты
code - Код валюты (USD/EUR/RUB)
name - Название валюты
symbol - Символ валюты
decimalPlaces - Количество знаков после запятой
isActive - Флаг активности"
USE CASE,Main Flow Step 6,Проверка конкуренции: Система анализирует цены конкурентов → Мерчант сравнивает с рыночными ценами → Корректирует стратегию ценообразования,16,2,Высокий,Средняя,"analyticsId - Уникальный идентификатор аналитики
productId - Ссылка на товар
views - Количество просмотров
purchases - Количество покупок
conversionRate - Конверсия
revenue - Выручка
lastCalculated - Дата последнего расчета

pricingId - Уникальный идентификатор цены
productId - Ссылка на товар
basePrice - Базовая цена
currency - Валюта
region - Регион
discountPercent - Процент скидки
salePrice - Цена со скидкой
validFrom - Действительно с
validTo - Действительно до
isActive - Флаг активности"
USE CASE,Main Flow Step 7,Тестирование цен: Мерчант запускает A/B тест цен → Система тестирует разные ценовые стратегии → Анализирует влияние на конверсию,20,2.5,Высокий,Высокая,"analyticsId - Уникальный идентификатор аналитики
productId - Ссылка на товар
views - Количество просмотров
purchases - Количество покупок
conversionRate - Конверсия
revenue - Выручка
lastCalculated - Дата последнего расчета

pricingId - Уникальный идентификатор цены
productId - Ссылка на товар
basePrice - Базовая цена
currency - Валюта
region - Регион
discountPercent - Процент скидки
salePrice - Цена со скидкой
validFrom - Действительно с
validTo - Действительно до
isActive - Флаг активности"
USE CASE,Main Flow Step 8,Публикация цен: Мерчант утверждает новые цены → Система обновляет цены в магазине → Уведомляет пользователей об изменениях,8,1,Высокий,Низкая,"pricingId - Уникальный идентификатор цены
productId - Ссылка на товар
basePrice - Базовая цена
currency - Валюта
region - Регион
discountPercent - Процент скидки
salePrice - Цена со скидкой
validFrom - Действительно с
validTo - Действительно до
isActive - Флаг активности"
USE CASE,Alternative Flow A1,Массовая локализация: Мерчант выбирает несколько товаров → Применяет общие правила локализации → Система обновляет цены для всех товаров,16,2,Средний,Средняя,"pricingId - Уникальный идентификатор цены
productId - Ссылка на товар
basePrice - Базовая цена
currency - Валюта
region - Регион
discountPercent - Процент скидки
salePrice - Цена со скидкой
validFrom - Действительно с
validTo - Действительно до
isActive - Флаг активности

localizationId - Уникальный идентификатор локализации
productId - Ссылка на товар
language - Язык
region - Регион
localizedName - Локализованное название
localizedDescription - Локализованное описание
culturalAdaptations - Культурные адаптации
lastUpdated - Дата последнего обновления"
USE CASE,Alternative Flow A2,Импорт цен из Excel: Мерчант загружает файл с ценами → Система проверяет и валидирует данные → Применяет изменения к товарам,12,1.5,Средний,Средняя,"pricingId - Уникальный идентификатор цены
productId - Ссылка на товар
basePrice - Базовая цена
currency - Валюта
region - Регион
discountPercent - Процент скидки
salePrice - Цена со скидкой
validFrom - Действительно с
validTo - Действительно до
isActive - Флаг активности"
USE CASE,Alternative Flow A3,Автоматическая локализация: Система использует алгоритмы машинного обучения → Автоматически рассчитывает оптимальные цены → Мерчант проверяет и корректирует результаты,24,3,Средний,Высокая,"pricingId - Уникальный идентификатор цены
productId - Ссылка на товар
basePrice - Базовая цена
currency - Валюта
region - Регион
discountPercent - Процент скидки
salePrice - Цена со скидкой
validFrom - Действительно с
validTo - Действительно до
isActive - Флаг активности

analyticsId - Уникальный идентификатор аналитики
productId - Ссылка на товар
views - Количество просмотров
purchases - Количество покупок
conversionRate - Конверсия
revenue - Выручка
lastCalculated - Дата последнего расчета

localizationId - Уникальный идентификатор локализации
productId - Ссылка на товар
language - Язык
region - Регион
localizedName - Локализованное название
localizedDescription - Локализованное описание
culturalAdaptations - Культурные адаптации
lastUpdated - Дата последнего обновления"
USE CASE,Exception Flow E1,Ошибка валютного курса: Система не может получить актуальный курс → Использует последний известный курс → Уведомляет мерчанта о проблеме,8,1,Высокий,Низкая,"exchangeRateId - Уникальный идентификатор курса
fromCurrency - Исходная валюта
toCurrency - Целевая валюта
rate - Курс обмена
lastUpdated - Дата последнего обновления
source - Источник курса
isActive - Флаг активности"
USE CASE,Exception Flow E2,Некорректные налоговые ставки: Система обнаруживает ошибку в налоговых данных → Предупреждает мерчанта → Предлагает использовать стандартные ставки,8,1,Высокий,Низкая,"localizationId - Уникальный идентификатор локализации
productId - Ссылка на товар
language - Язык
region - Регион
localizedName - Локализованное название
localizedDescription - Локализованное описание
culturalAdaptations - Культурные адаптации
lastUpdated - Дата последнего обновления"
USE CASE,Exception Flow E3,Конфликт цен: Система обнаруживает конфликт в ценообразовании → Показывает предупреждения → Мерчант разрешает конфликты,12,1.5,Средний,Средняя,"pricingId - Уникальный идентификатор цены
productId - Ссылка на товар
basePrice - Базовая цена
currency - Валюта
region - Регион
discountPercent - Процент скидки
salePrice - Цена со скидкой
validFrom - Действительно с
validTo - Действительно до
isActive - Флаг активности"
