Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Use Case ID,UC_PATCH_NOTES_UI_001,0,0,Средний,Низкая,PatchNote Changelog Version Update Player Notification
USE CASE,Название,Patch Notes - User Interface,0,0,Средний,Низкая,
USE CASE,Описание,Пользовательский интерфейс для просмотра заметок о патчах и изменений в игре с версионированием и уведомлениями,0,0,Средний,Низкая,
USE CASE,Primary Actor,Игрок (читатель патч-ноутов),0,0,Средний,Низкая,
USE CASE,Secondary Actors,Notification System Version Manager,0,0,Средний,Низкая,
USE CASE,Цель,Предоставить удобный интерфейс для просмотра истории изменений и новостей о обновлениях игры,0,0,Средний,Низкая,
USE CASE,Preconditions,Игрок авторизован в системе Доступ к разделу Patch Notes,0,0,Средний,Низкая,
USE CASE,Main Flow Step 1,Открытие патч-ноутов: Игрок нажимает на меню "Патч-ноуты" → Система загружает список обновлений → Показывает последние изменения,4,0.5,Средний,Низкая,"patchNotesId - Уникальный идентификатор патч-ноутов
playerId - Ссылка на игрока
availableVersions - Список доступных версий
lastReadVersion - Последняя прочитанная версия
notificationSettings - JSON настройки уведомлений
isActive - Флаг активности"
USE CASE,Main Flow Step 2,Просмотр списка версий: Система показывает карточки версий → Отображает дату и номер версии → Позволяет выбрать для просмотра,6,0.75,Средний,Низкая,"versionId - Уникальный идентификатор версии
versionNumber - Номер версии
releaseDate - Дата релиза
versionType - Тип версии (major/minor/patch)
description - Краткое описание
isStable - Флаг стабильной версии
downloadSize - Размер загрузки"
USE CASE,Main Flow Step 3,Чтение деталей обновления: Игрок выбирает версию → Система показывает детали → Отображает категории изменений,8,1,Средний,Низкая,"patchDetailId - Уникальный идентификатор деталей патча
versionId - Ссылка на версию
category - Категория изменений (новое/исправление/баланс)
title - Заголовок изменения
description - Описание изменения
impact - Влияние на игру (высокое/среднее/низкое)
isImportant - Флаг важности"
USE CASE,Main Flow Step 4,Фильтрация изменений: Игрок выбирает категорию → Система фильтрует изменения → Показывает только выбранный тип,6,0.75,Средний,Низкая,"categoryId - Уникальный идентификатор категории
categoryName - Название категории
description - Описание категории
changeCount - Количество изменений
iconUrl - URL иконки категории
displayOrder - Порядок отображения
isActive - Флаг активности"
USE CASE,Main Flow Step 5,Поиск по изменениям: Игрок вводит поисковый запрос → Система показывает результаты → Позволяет найти конкретные изменения,6,0.75,Средний,Низкая,"changeSearchId - Уникальный идентификатор поиска изменений
playerId - Ссылка на игрока
searchQuery - Поисковый запрос
results - Список найденных изменений
filters - Примененные фильтры
executedAt - Время выполнения поиска"
USE CASE,Main Flow Step 6,Отметка как прочитанное: Игрок отмечает версию как прочитанную → Система обновляет статус → Убирает уведомления,4,0.5,Средний,Низкая,"readStatusId - Уникальный идентификатор статуса прочтения
playerId - Ссылка на игрока
versionId - Ссылка на версию
isRead - Флаг прочтения
readAt - Время прочтения
readProgress - Прогресс прочтения"
USE CASE,Main Flow Step 7,Подписка на уведомления: Игрок настраивает уведомления → Выбирает типы обновлений → Получает push-уведомления,6,0.75,Средний,Низкая,"notificationSubscriptionId - Уникальный идентификатор подписки на уведомления
playerId - Ссылка на игрока
notificationTypes - Список типов уведомлений
isEnabled - Флаг включения
frequency - Частота уведомлений
lastSent - Время последней отправки"
USE CASE,Main Flow Step 8,Поделиться обновлением: Игрок нажимает "Поделиться" → Система генерирует ссылку → Позволяет поделиться в социальных сетях,4,0.5,Низкий,Низкая,"patchShareId - Уникальный идентификатор публикации патча
playerId - Ссылка на игрока
versionId - Ссылка на версию
shareType - Тип публикации (ссылка/изображение)
platform - Платформа (Twitter/Facebook/Instagram)
sharedAt - Время публикации"
USE CASE,Alternative Flow A1,Просмотр архива версий: Игрок выбирает "Архив" → Система показывает старые версии → Позволяет просмотреть историю,6,0.75,Низкий,Низкая,"versionArchiveId - Уникальный идентификатор архива версий
versionId - Ссылка на версию
archiveDate - Дата архивирования
isAccessible - Флаг доступности
downloadUrl - URL для скачивания
fileSize - Размер файла"
USE CASE,Alternative Flow A2,Сравнение версий: Игрок выбирает две версии → Система показывает различия → Выделяет изменения между версиями,8,1,Низкий,Средняя,"versionComparisonId - Уникальный идентификатор сравнения версий
playerId - Ссылка на игрока
version1Id - Ссылка на первую версию
version2Id - Ссылка на вторую версию
differences - JSON различия между версиями
comparedAt - Время сравнения"
USE CASE,Alternative Flow A3,Бета-версии: Игрок получает доступ к бета-версиям → Система показывает тестовые обновления → Позволяет участвовать в тестировании,10,1.25,Низкий,Средняя,"betaVersionId - Уникальный идентификатор бета-версии
versionId - Ссылка на версию
isBeta - Флаг бета-версии
testGroup - Группа тестирования
feedbackRequired - Флаг необходимости обратной связи
testDeadline - Дедлайн тестирования"
USE CASE,Alternative Flow A4,Обратная связь по обновлению: Игрок оставляет отзыв об обновлении → Система собирает фидбек → Отправляет разработчикам,6,0.75,Низкий,Низкая,"updateFeedbackId - Уникальный идентификатор обратной связи по обновлению
playerId - Ссылка на игрока
versionId - Ссылка на версию
feedbackType - Тип обратной связи (баг/предложение/похвала)
feedbackText - Текст обратной связи
rating - Оценка обновления
submittedAt - Время отправки"
USE CASE,Exception Flow E1,Ошибка загрузки патч-ноутов: Список обновлений не загружается → Система показывает ошибку → Предлагает обновить страницу,4,0.5,Средний,Низкая,"patchNotesId - Уникальный идентификатор патч-ноутов
playerId - Ссылка на игрока
availableVersions - Список доступных версий
lastReadVersion - Последняя прочитанная версия
notificationSettings - JSON настройки уведомлений
isActive - Флаг активности"
USE CASE,Exception Flow E2,Версия недоступна: Выбранная версия не найдена → Система показывает ошибку → Предлагает выбрать другую версию,4,0.5,Средний,Низкая,"versionId - Уникальный идентификатор версии
versionNumber - Номер версии
releaseDate - Дата релиза
versionType - Тип версии (major/minor/patch)
description - Краткое описание
isStable - Флаг стабильной версии
downloadSize - Размер загрузки"
USE CASE,Exception Flow E3,Ошибка уведомлений: Уведомления не отправляются → Система показывает предупреждение → Предлагает проверить настройки,4,0.5,Средний,Низкая,"notificationSubscriptionId - Уникальный идентификатор подписки на уведомления
playerId - Ссылка на игрока
notificationTypes - Список типов уведомлений
isEnabled - Флаг включения
frequency - Частота уведомлений
lastSent - Время последней отправки"
USE CASE,Postcondition Success,Патч-ноуты прочитаны Статус обновлен Уведомления настроены,0,0,Средний,Низкая,"readStatusId - Уникальный идентификатор статуса прочтения
playerId - Ссылка на игрока
versionId - Ссылка на версию
isRead - Флаг прочтения
readAt - Время прочтения
readProgress - Прогресс прочтения

versionId - Уникальный идентификатор версии
versionNumber - Номер версии
releaseDate - Дата релиза
versionType - Тип версии (major/minor/patch)
description - Краткое описание
isStable - Флаг стабильной версии
downloadSize - Размер загрузки

patchDetailId - Уникальный идентификатор деталей патча
versionId - Ссылка на версию
category - Категория изменений (новое/исправление/баланс)
title - Заголовок изменения
description - Описание изменения
impact - Влияние на игру (высокое/среднее/низкое)
isImportant - Флаг важности

categoryId - Уникальный идентификатор категории
categoryName - Название категории
description - Описание категории
changeCount - Количество изменений
iconUrl - URL иконки категории
displayOrder - Порядок отображения
isActive - Флаг активности

changeSearchId - Уникальный идентификатор поиска изменений
playerId - Ссылка на игрока
searchQuery - Поисковый запрос
results - Список найденных изменений
filters - Примененные фильтры
executedAt - Время выполнения поиска

notificationSubscriptionId - Уникальный идентификатор подписки на уведомления
playerId - Ссылка на игрока
notificationTypes - Список типов уведомлений
isEnabled - Флаг включения
frequency - Частота уведомлений
lastSent - Время последней отправки

patchShareId - Уникальный идентификатор публикации патча
playerId - Ссылка на игрока
versionId - Ссылка на версию
shareType - Тип публикации (ссылка/изображение)
platform - Платформа (Twitter/Facebook/Instagram)
sharedAt - Время публикации

versionArchiveId - Уникальный идентификатор архива версий
versionId - Ссылка на версию
archiveDate - Дата архивирования
isAccessible - Флаг доступности
downloadUrl - URL для скачивания
fileSize - Размер файла

versionComparisonId - Уникальный идентификатор сравнения версий
playerId - Ссылка на игрока
version1Id - Ссылка на первую версию
version2Id - Ссылка на вторую версию
differences - JSON различия между версиями
comparedAt - Время сравнения

betaVersionId - Уникальный идентификатор бета-версии
versionId - Ссылка на версию
isBeta - Флаг бета-версии
testGroup - Группа тестирования
feedbackRequired - Флаг необходимости обратной связи
testDeadline - Дедлайн тестирования

updateFeedbackId - Уникальный идентификатор обратной связи по обновлению
playerId - Ссылка на игрока
versionId - Ссылка на версию
feedbackType - Тип обратной связи (баг/предложение/похвала)
feedbackText - Текст обратной связи
rating - Оценка обновления
submittedAt - Время отправки

patchNotesId - Уникальный идентификатор патч-ноутов
playerId - Ссылка на игрока
availableVersions - Список доступных версий
lastReadVersion - Последняя прочитанная версия
notificationSettings - JSON настройки уведомлений
isActive - Флаг активности

analyticsId - Уникальный идентификатор аналитики
eventType - Тип события (чтение/поиск/поделиться)
playerId - Ссылка на игрока
versionId - Ссылка на версию
eventData - JSON данные события
timestamp - Время события
sessionId - ID сессии"
USE CASE,Postcondition Failure,Патч-ноуты не загружены Статус не обновлен Игрок получает уведомление об ошибке,0,0,Средний,Низкая,"patchNotesId - Уникальный идентификатор патч-ноутов
playerId - Ссылка на игрока
availableVersions - Список доступных версий
lastReadVersion - Последняя прочитанная версия
notificationSettings - JSON настройки уведомлений
isActive - Флаг активности"
USE CASE,Ключевые метрики,Процент прочитанных обновлений Популярность версий Вовлеченность в обратной связи,0,0,Средний,Низкая,"analyticsId - Уникальный идентификатор аналитики
eventType - Тип события (чтение/поиск/поделиться)
playerId - Ссылка на игрока
versionId - Ссылка на версию
eventData - JSON данные события
timestamp - Время события
sessionId - ID сессии"
USE CASE,Приоритет,Средний,0,0,Средний,Низкая,
USE CASE,Сложность,Низкая,0,0,Средний,Низкая,
USE CASE,Зависимости,Version Manager Notification System Content Management System,0,0,Средний,Низкая,
USE CASE,Общая оценка (Use Case),,68,8.5,Средний,Низкая,



