Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Use Case ID,UC_DASHBOARD_UI_001,0,0,Высокий,Высокая,Dashboard Widget Metric Chart Filter Analytics
USE CASE,Название,Real-time Dashboard - User Interface,0,0,Высокий,Высокая,
USE CASE,Описание,Пользовательский интерфейс для просмотра аналитических данных в реальном времени через интерактивный дашборд с виджетами и графиками,0,0,Высокий,Высокая,
USE CASE,Primary Actor,Мерчант (аналитик менеджер по продукту),0,0,Высокий,Высокая,
USE CASE,Secondary Actors,Система уведомлений,0,0,Высокий,Высокая,
USE CASE,Цель,Предоставить наглядный и интерактивный интерфейс для мониторинга ключевых метрик бизнеса в реальном времени,0,0,Высокий,Высокая,
USE CASE,Preconditions,Мерчант авторизован в системе Доступ к разделу Dashboard,0,0,Высокий,Высокая,
USE CASE,Main Flow Step 1,Открытие дашборда: Мерчант нажимает на меню "Dashboard" → Система загружает главный дашборд → Отображает сетку виджетов с метриками,4,0.5,Высокий,Низкая,"dashboardId - Уникальный идентификатор дашборда
name - Название дашборда
description - Описание дашборда
layout - JSON макет виджетов
isDefault - Флаг по умолчанию
createdAt - Дата создания
updatedAt - Дата обновления"
USE CASE,Main Flow Step 2,Просмотр ключевых метрик: Система показывает карточки с KPI → Мерчант видит текущие значения → Может нажать на карточку для деталей,8,1,Высокий,Низкая,"metricId - Уникальный идентификатор метрики
name - Название метрики
type - Тип метрики (числовая/процент/график)
currentValue - Текущее значение
previousValue - Предыдущее значение
change - Изменение
unit - Единица измерения
lastUpdated - Дата последнего обновления"
USE CASE,Main Flow Step 3,Интерактивные графики: Мерчант видит графики с данными → Может навести курсор для деталей → Может кликнуть для фильтрации по периоду,12,1.5,Высокий,Средняя,"chartId - Уникальный идентификатор графика
dashboardId - Ссылка на дашборд
chartType - Тип графика (линейный/столбчатый/круговой)
dataSource - Источник данных
xAxis - Ось X
yAxis - Ось Y
refreshInterval - Интервал обновления
isInteractive - Флаг интерактивности"
USE CASE,Main Flow Step 4,Фильтрация данных: Мерчант нажимает на фильтр "Период" → Система показывает календарь → Позволяет выбрать диапазон дат,10,1.25,Высокий,Средняя,"filterId - Уникальный идентификатор фильтра
dashboardId - Ссылка на дашборд
filterType - Тип фильтра (дата/сегмент/метрика)
filterName - Название фильтра
filterOptions - JSON опции фильтра
defaultValue - Значение по умолчанию
isActive - Флаг активности"
USE CASE,Main Flow Step 5,Настройка виджетов: Мерчант нажимает "Настроить" → Система открывает панель виджетов → Позволяет добавлять/удалять/переставлять виджеты,16,2,Высокий,Высокая,"widgetId - Уникальный идентификатор виджета
dashboardId - Ссылка на дашборд
widgetType - Тип виджета (метрика/график/таблица)
widgetName - Название виджета
position - Позиция на дашборде
size - Размер виджета
config - JSON конфигурация
isVisible - Флаг видимости"
USE CASE,Main Flow Step 6,Детальный просмотр: Мерчант кликает на виджет → Система открывает модальное окно → Показывает детальные данные и тренды,12,1.5,Высокий,Средняя,"widgetId - Уникальный идентификатор виджета
dashboardId - Ссылка на дашборд
widgetType - Тип виджета (метрика/график/таблица)
widgetName - Название виджета
position - Позиция на дашборде
size - Размер виджета
config - JSON конфигурация
isVisible - Флаг видимости

metricId - Уникальный идентификатор метрики
name - Название метрики
type - Тип метрики (числовая/процент/график)
currentValue - Текущее значение
previousValue - Предыдущее значение
change - Изменение
unit - Единица измерения
lastUpdated - Дата последнего обновления"
USE CASE,Main Flow Step 7,Экспорт данных: Мерчант нажимает "Экспорт" → Система показывает варианты форматов → Позволяет скачать данные в CSV/Excel,8,1,Средний,Низкая,"analyticsId - Уникальный идентификатор аналитики
dashboardId - Ссылка на дашборд
dataType - Тип данных
exportFormat - Формат экспорта (CSV/Excel/PDF)
exportPeriod - Период экспорта
recordCount - Количество записей
generatedAt - Время генерации"
USE CASE,Main Flow Step 8,Обновление в реальном времени: Система автоматически обновляет данные → Показывает индикатор обновления → Уведомляет об изменениях,6,0.75,Высокий,Низкая,"metricId - Уникальный идентификатор метрики
name - Название метрики
type - Тип метрики (числовая/процент/график)
currentValue - Текущее значение
previousValue - Предыдущее значение
change - Изменение
unit - Единица измерения
lastUpdated - Дата последнего обновления"
