Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Use Case ID,UC_BLOG_NEWS_UI_001,0,0,Средний,Средняя,BlogPost News Article Content Media Player Analytics
USE CASE,Название,Blog News - User Interface,0,0,Средний,Средняя,
USE CASE,Описание,Пользовательский интерфейс для просмотра блогов новостей и статей с поддержкой медиа-контента и интерактивными элементами,0,0,Средний,Средняя,
USE CASE,Primary Actor,Игрок (читатель блога и новостей),0,0,Средний,Средняя,
USE CASE,Secondary Actors,Content Management System Media Player,0,0,Средний,Средняя,
USE CASE,Цель,Предоставить удобный и привлекательный интерфейс для чтения новостей и блогов с поддержкой различных форматов контента,0,0,Средний,Средняя,
USE CASE,Preconditions,Игрок авторизован в системе Доступ к разделу Blog/News,0,0,Средний,Средняя,
USE CASE,Main Flow Step 1,Открытие блога/новостей: Игрок нажимает на меню "Новости" → Система загружает главную страницу → Показывает список последних статей,4,0.5,Средний,Низкая,"blogPostId - Уникальный идентификатор статьи блога
title - Заголовок статьи
summary - Краткое описание
author - Автор статьи
publishDate - Дата публикации
category - Категория статьи
tags - Теги статьи
isPublished - Флаг публикации"
USE CASE,Main Flow Step 2,Просмотр списка статей: Система показывает карточки статей → Отображает превью изображения и текст → Позволяет фильтровать по категориям,8,1,Средний,Низкая,"blogPostId - Уникальный идентификатор статьи блога
title - Заголовок статьи
summary - Краткое описание
author - Автор статьи
publishDate - Дата публикации
category - Категория статьи
tags - Теги статьи
isPublished - Флаг публикации"
USE CASE,Main Flow Step 3,Фильтрация контента: Игрок выбирает категорию из фильтра → Система обновляет список → Показывает статьи выбранной категории,6,0.75,Средний,Низкая,"categoryId - Уникальный идентификатор категории
categoryName - Название категории
description - Описание категории
postCount - Количество статей
isActive - Флаг активности
displayOrder - Порядок отображения"
USE CASE,Main Flow Step 4,Чтение статьи: Игрок кликает на статью → Система открывает полный текст → Отображает контент с медиа,12,1.5,Средний,Средняя,"blogPostId - Уникальный идентификатор статьи блога
title - Заголовок статьи
summary - Краткое описание
author - Автор статьи
publishDate - Дата публикации
category - Категория статьи
tags - Теги статьи
isPublished - Флаг публикации

articleContentId - Уникальный идентификатор контента статьи
postId - Ссылка на статью
contentType - Тип контента (текст/изображение/видео)
contentData - JSON данные контента
displayOrder - Порядок отображения
isActive - Флаг активности"
USE CASE,Main Flow Step 5,Просмотр медиа: Игрок просматривает изображения и видео → Система показывает галерею → Позволяет увеличить и проиграть медиа,10,1.25,Средний,Средняя,"mediaContentId - Уникальный идентификатор медиа-контента
postId - Ссылка на статью
mediaType - Тип медиа (изображение/видео/аудио)
mediaUrl - URL медиа-файла
thumbnailUrl - URL миниатюры
altText - Альтернативный текст
caption - Подпись к медиа"
USE CASE,Main Flow Step 6,Поиск по статьям: Игрок вводит поисковый запрос → Система показывает результаты → Позволяет фильтровать по релевантности,8,1,Средний,Низкая,"searchQueryId - Уникальный идентификатор поискового запроса
query - Поисковый запрос
results - Список найденных статей
filters - Примененные фильтры
sortOrder - Порядок сортировки
executedAt - Время выполнения"
USE CASE,Main Flow Step 7,Поделиться статьей: Игрок нажимает "Поделиться" → Система показывает варианты → Позволяет поделиться в социальных сетях,6,0.75,Низкий,Низкая,"shareId - Уникальный идентификатор публикации
postId - Ссылка на статью
playerId - Ссылка на игрока
shareType - Тип публикации (ссылка/изображение)
platform - Платформа (Twitter/Facebook/Instagram)
sharedAt - Время публикации"
USE CASE,Main Flow Step 8,Комментирование: Игрок оставляет комментарий → Система сохраняет комментарий → Показывает в списке комментариев,8,1,Средний,Низкая,"commentId - Уникальный идентификатор комментария
postId - Ссылка на статью
playerId - Ссылка на игрока
commentText - Текст комментария
commentDate - Дата комментария
isApproved - Флаг одобрения
parentCommentId - ID родительского комментария"
USE CASE,Alternative Flow A1,Просмотр похожих статей: Система показывает рекомендации → Игрок может перейти к похожим статьям → Отображает релевантный контент,6,0.75,Низкий,Низкая,"recommendationId - Уникальный идентификатор рекомендации
postId - Ссылка на статью
recommendedPostId - Ссылка на рекомендуемую статью
recommendationType - Тип рекомендации (похожая/популярная/свежая)
confidence - Уверенность в рекомендации
isViewed - Флаг просмотра"
USE CASE,Alternative Flow A2,Подписка на новости: Игрок нажимает "Подписаться" → Система показывает настройки → Позволяет выбрать категории для подписки,8,1,Средний,Низкая,"subscriptionId - Уникальный идентификатор подписки
playerId - Ссылка на игрока
subscriptionType - Тип подписки (все/категории/авторы)
categories - Список категорий
isActive - Флаг активности
subscribedAt - Дата подписки"
USE CASE,Alternative Flow A3,Просмотр архивов: Игрок выбирает период из архива → Система показывает старые статьи → Позволяет просматривать историю,6,0.75,Низкий,Низкая,"archiveId - Уникальный идентификатор архива
period - Период архива (месяц/год)
postCount - Количество статей в периоде
isAccessible - Флаг доступности
lastUpdated - Дата последнего обновления"
USE CASE,Alternative Flow A4,Чтение офлайн: Игрок сохраняет статью для офлайн-чтения → Система кэширует контент → Позволяет читать без интернета,8,1,Средний,Низкая,"offlineContentId - Уникальный идентификатор офлайн-контента
playerId - Ссылка на игрока
postId - Ссылка на статью
cachedContent - Кэшированный контент
savedAt - Время сохранения
isExpired - Флаг истечения"
USE CASE,Exception Flow E1,Ошибка загрузки контента: Статья не загружается → Система показывает ошибку → Предлагает обновить страницу,4,0.5,Средний,Низкая,"blogPostId - Уникальный идентификатор статьи блога
title - Заголовок статьи
summary - Краткое описание
author - Автор статьи
publishDate - Дата публикации
category - Категория статьи
tags - Теги статьи
isPublished - Флаг публикации"
USE CASE,Exception Flow E2,Медиа не воспроизводится: Видео или изображение не загружается → Система показывает альтернативный контент → Предлагает повторить загрузку,6,0.75,Средний,Низкая,"mediaContentId - Уникальный идентификатор медиа-контента
postId - Ссылка на статью
mediaType - Тип медиа (изображение/видео/аудио)
mediaUrl - URL медиа-файла
thumbnailUrl - URL миниатюры
altText - Альтернативный текст
caption - Подпись к медиа"
USE CASE,Exception Flow E3,Поиск не дает результатов: Поисковый запрос не найден → Система показывает сообщение → Предлагает альтернативные варианты,4,0.5,Средний,Низкая,"searchQueryId - Уникальный идентификатор поискового запроса
query - Поисковый запрос
results - Список найденных статей
filters - Примененные фильтры
sortOrder - Порядок сортировки
executedAt - Время выполнения"
USE CASE,Postcondition Success,Статья прочитана Медиа просмотрено Комментарий добавлен,0,0,Средний,Средняя,"blogPostId - Уникальный идентификатор статьи блога
title - Заголовок статьи
summary - Краткое описание
author - Автор статьи
publishDate - Дата публикации
category - Категория статьи
tags - Теги статьи
isPublished - Флаг публикации

articleContentId - Уникальный идентификатор контента статьи
postId - Ссылка на статью
contentType - Тип контента (текст/изображение/видео)
contentData - JSON данные контента
displayOrder - Порядок отображения
isActive - Флаг активности

mediaContentId - Уникальный идентификатор медиа-контента
postId - Ссылка на статью
mediaType - Тип медиа (изображение/видео/аудио)
mediaUrl - URL медиа-файла
thumbnailUrl - URL миниатюры
altText - Альтернативный текст
caption - Подпись к медиа

commentId - Уникальный идентификатор комментария
postId - Ссылка на статью
playerId - Ссылка на игрока
commentText - Текст комментария
commentDate - Дата комментария
isApproved - Флаг одобрения
parentCommentId - ID родительского комментария

categoryId - Уникальный идентификатор категории
categoryName - Название категории
description - Описание категории
postCount - Количество статей
isActive - Флаг активности
displayOrder - Порядок отображения

subscriptionId - Уникальный идентификатор подписки
playerId - Ссылка на игрока
subscriptionType - Тип подписки (все/категории/авторы)
categories - Список категорий
isActive - Флаг активности
subscribedAt - Дата подписки

shareId - Уникальный идентификатор публикации
postId - Ссылка на статью
playerId - Ссылка на игрока
shareType - Тип публикации (ссылка/изображение)
platform - Платформа (Twitter/Facebook/Instagram)
sharedAt - Время публикации

searchQueryId - Уникальный идентификатор поискового запроса
query - Поисковый запрос
results - Список найденных статей
filters - Примененные фильтры
sortOrder - Порядок сортировки
executedAt - Время выполнения

analyticsId - Уникальный идентификатор аналитики
eventType - Тип события (чтение/поиск/поделиться)
playerId - Ссылка на игрока
postId - Ссылка на статью
eventData - JSON данные события
timestamp - Время события
sessionId - ID сессии"
USE CASE,Postcondition Failure,Контент не загружен Поиск не выполнен Комментарий не добавлен,0,0,Средний,Средняя,"blogPostId - Уникальный идентификатор статьи блога
title - Заголовок статьи
summary - Краткое описание
author - Автор статьи
publishDate - Дата публикации
category - Категория статьи
tags - Теги статьи
isPublished - Флаг публикации"
USE CASE,Ключевые метрики,Время чтения статей Популярность контента Вовлеченность в комментариях,0,0,Средний,Средняя,"analyticsId - Уникальный идентификатор аналитики
eventType - Тип события (чтение/поиск/поделиться)
playerId - Ссылка на игрока
postId - Ссылка на статью
eventData - JSON данные события
timestamp - Время события
sessionId - ID сессии"
USE CASE,Приоритет,Средний,0,0,Средний,Средняя,
USE CASE,Сложность,Средняя,0,0,Средний,Средняя,
USE CASE,Зависимости,Content Management System Media Player Search Engine Comment System,0,0,Средний,Средняя,
USE CASE,Общая оценка (Use Case),,88,11,Средний,Средняя,
