Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Use Case ID,UC_LOCALIZATION_SUPPORT_UI_001,0,0,Средний,Средняя,Localization Language Translation RTL Player Preferences
USE CASE,Название,Localization Support - User Interface,0,0,Средний,Средняя,
USE CASE,Описание,Пользовательский интерфейс для поддержки многоязычности с автоматическим определением языка переводами и поддержкой RTL-языков,0,0,Средний,Средняя,
USE CASE,Primary Actor,Игрок (пользователь многоязычного интерфейса),0,0,Средний,Средняя,
USE CASE,Secondary Actors,Translation Service Language Detector,0,0,Средний,Средняя,
USE CASE,Цель,Предоставить удобный интерфейс для переключения языков и адаптации интерфейса под различные языковые предпочтения пользователей,0,0,Средний,Средняя,
USE CASE,Preconditions,Игрок авторизован в системе Доступ к настройкам локализации,0,0,Средний,Средняя,
USE CASE,Main Flow Step 1,Открытие настроек языка: Игрок нажимает на меню "Настройки" → Выбирает "Язык" → Система загружает список доступных языков,4,0.5,Средний,Низкая,"languageSettingsId - Уникальный идентификатор настроек языка
playerId - Ссылка на игрока
currentLanguage - Текущий язык
availableLanguages - Список доступных языков
isAutoDetect - Флаг автоматического определения
lastUpdated - Дата последнего обновления"
USE CASE,Main Flow Step 2,Просмотр доступных языков: Система показывает список языков → Отображает флаги стран → Позволяет выбрать язык,6,0.75,Средний,Низкая,"languageId - Уникальный идентификатор языка
languageCode - Код языка (en/ru/es/fr)
languageName - Название языка
countryCode - Код страны
flagIcon - URL иконки флага
isRTL - Флаг направления текста (справа налево)
isAvailable - Флаг доступности"
USE CASE,Main Flow Step 3,Выбор языка: Игрок выбирает язык из списка → Нажимает "Применить" → Система переключает интерфейс,6,0.75,Средний,Низкая,"languageId - Уникальный идентификатор языка
languageCode - Код языка (en/ru/es/fr)
languageName - Название языка
countryCode - Код страны
flagIcon - URL иконки флага
isRTL - Флаг направления текста (справа налево)
isAvailable - Флаг доступности"
USE CASE,Main Flow Step 4,Применение RTL-направления: Система определяет RTL-язык → Адаптирует интерфейс → Перестраивает элементы справа налево,8,1,Средний,Средняя,"rtlSettingsId - Уникальный идентификатор настроек RTL
playerId - Ссылка на игрока
isRTL - Флаг направления текста
textDirection - Направление текста (ltr/rtl)
layoutDirection - Направление макета
mirrorImages - Флаг зеркалирования изображений"
USE CASE,Main Flow Step 5,Обновление переводов: Система загружает переводы для выбранного языка → Обновляет все тексты → Применяет изменения,8,1,Средний,Средняя,"translationId - Уникальный идентификатор перевода
languageId - Ссылка на язык
textKey - Ключ текста для перевода
originalText - Оригинальный текст
translatedText - Переведенный текст
translationStatus - Статус перевода (полный/частичный/отсутствует)
lastUpdated - Дата последнего обновления"
USE CASE,Main Flow Step 6,Адаптация форматирования: Система адаптирует даты и числа → Применяет локальные форматы → Обновляет валюту,6,0.75,Средний,Низкая,"formattingSettingsId - Уникальный идентификатор настроек форматирования
languageId - Ссылка на язык
dateFormat - Формат даты
timeFormat - Формат времени
numberFormat - Формат чисел
currencyFormat - Формат валюты
decimalSeparator - Разделитель десятичных
thousandSeparator - Разделитель тысяч"
