Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Use Case ID,UC_SKU_MANAGEMENT_TRACK_INVENTORY_001,0,0,Высокий,Высокая,Inventory StockMovement Alerts Analytics Product
USE CASE,Название,SKU Management - Track Inventory,0,0,Высокий,Высокая,
USE CASE,Описание,Мерчант отслеживает остатки товаров в реальном времени получает уведомления о низких запасах и управляет инвентарем для обеспечения бесперебойных продаж,0,0,Высокий,Высокая,
USE CASE,Primary Actor,Мерчант (администратор склада менеджер по запасам),0,0,Высокий,Высокая,
USE CASE,Secondary Actors,Система аналитики Notification Service Purchase System,0,0,Высокий,Высокая,
USE CASE,Цель,Обеспечить непрерывное отслеживание товарных остатков с автоматическими уведомлениями и прогнозированием потребностей в пополнении запасов,0,0,Высокий,Высокая,
USE CASE,Preconditions,Мерчант авторизован в системе Настроены пороговые значения для уведомлений Интегрированы системы продаж,0,0,Высокий,Высокая,
USE CASE,Main Flow Step 1,Открытие инвентаря: Мерчант заходит в раздел "Inventory Tracking" → Система отображает дашборд с текущими остатками → Показывает товары с низкими запасами,8,1,Высокий,Низкая,"inventoryId - Уникальный идентификатор записи инвентаря
productId - Ссылка на товар
quantity - Количество на складе
reservedQuantity - Зарезервированное количество
availableQuantity - Доступное количество
minThreshold - Минимальный порог
maxThreshold - Максимальный порог
regionRestrictions - Ограничения по регионам
lastUpdated - Дата последнего обновления"
USE CASE,Main Flow Step 2,Просмотр остатков: Система отображает список товаров с количеством на складе → Мерчант видит резерв зарезервированные товары доступные для продажи → Может фильтровать по категориям,12,1.5,Высокий,Средняя,"inventoryId - Уникальный идентификатор записи инвентаря
productId - Ссылка на товар
quantity - Количество на складе
reservedQuantity - Зарезервированное количество
availableQuantity - Доступное количество
minThreshold - Минимальный порог
maxThreshold - Максимальный порог
regionRestrictions - Ограничения по регионам
lastUpdated - Дата последнего обновления

stockMovementId - Уникальный идентификатор движения
productId - Ссылка на товар
movementType - Тип движения (поступление/продажа/резерв)
quantity - Количество
previousQuantity - Предыдущее количество
newQuantity - Новое количество
reason - Причина движения
timestamp - Время движения
userId - Пользователь выполнивший операцию"
USE CASE,Main Flow Step 3,Анализ движения товаров: Система показывает историю поступлений и продаж → Мерчант анализирует скорость продаж → Выявляет быстро- и медленно-продаваемые товары,16,2,Высокий,Средняя,"stockMovementId - Уникальный идентификатор движения
productId - Ссылка на товар
movementType - Тип движения (поступление/продажа/резерв)
quantity - Количество
previousQuantity - Предыдущее количество
newQuantity - Новое количество
reason - Причина движения
timestamp - Время движения
userId - Пользователь выполнивший операцию

analyticsId - Уникальный идентификатор аналитики
productId - Ссылка на товар
views - Количество просмотров
purchases - Количество покупок
conversionRate - Конверсия
revenue - Выручка
lastCalculated - Дата последнего расчета"
USE CASE,Main Flow Step 4,Настройка алертов: Мерчант устанавливает пороговые значения для уведомлений → Настраивает каналы получения алертов → Определяет критические товары,12,1.5,Высокий,Средняя,"alertId - Уникальный идентификатор алерта
productId - Ссылка на товар
alertType - Тип алерта (низкий запас/высокий запас/отсутствие)
threshold - Пороговое значение
isActive - Флаг активности
notificationChannels - Каналы уведомлений
recipients - Получатели уведомлений
createdAt - Дата создания
lastTriggered - Дата последнего срабатывания"
USE CASE,Main Flow Step 5,Прогнозирование потребностей: Система анализирует исторические данные → Рассчитывает прогноз спроса → Предлагает рекомендуемые заказы,20,2.5,Высокий,Высокая,"analyticsId - Уникальный идентификатор аналитики
productId - Ссылка на товар
views - Количество просмотров
purchases - Количество покупок
conversionRate - Конверсия
revenue - Выручка
lastCalculated - Дата последнего расчета

inventoryId - Уникальный идентификатор записи инвентаря
productId - Ссылка на товар
quantity - Количество на складе
reservedQuantity - Зарезервированное количество
availableQuantity - Доступное количество
minThreshold - Минимальный порог
maxThreshold - Максимальный порог
regionRestrictions - Ограничения по регионам
lastUpdated - Дата последнего обновления"
USE CASE,Main Flow Step 6,Управление резервами: Мерчант резервирует товары для акций → Устанавливает лимиты на покупку → Управляет доступностью по регионам,16,2,Высокий,Средняя,"inventoryId - Уникальный идентификатор записи инвентаря
productId - Ссылка на товар
quantity - Количество на складе
reservedQuantity - Зарезервированное количество
availableQuantity - Доступное количество
minThreshold - Минимальный порог
maxThreshold - Максимальный порог
regionRestrictions - Ограничения по регионам
lastUpdated - Дата последнего обновления"
USE CASE,Main Flow Step 7,Экспорт отчетов: Мерчант экспортирует данные по остаткам → Получает отчеты в различных форматах → Анализирует тенденции,8,1,Средний,Низкая,"analyticsId - Уникальный идентификатор аналитики
productId - Ссылка на товар
views - Количество просмотров
purchases - Количество покупок
conversionRate - Конверсия
revenue - Выручка
lastCalculated - Дата последнего расчета"
USE CASE,Alternative Flow A1,Ручное обновление остатков: Мерчант корректирует количество товаров → Система обновляет данные → Логирует изменения с причиной,12,1.5,Высокий,Средняя,"inventoryId - Уникальный идентификатор записи инвентаря
productId - Ссылка на товар
quantity - Количество на складе
reservedQuantity - Зарезервированное количество
availableQuantity - Доступное количество
minThreshold - Минимальный порог
maxThreshold - Максимальный порог
regionRestrictions - Ограничения по регионам
lastUpdated - Дата последнего обновления

stockMovementId - Уникальный идентификатор движения
productId - Ссылка на товар
movementType - Тип движения (поступление/продажа/резерв)
quantity - Количество
previousQuantity - Предыдущее количество
newQuantity - Новое количество
reason - Причина движения
timestamp - Время движения
userId - Пользователь выполнивший операцию"
USE CASE,Alternative Flow A2,Массовое обновление: Мерчант загружает CSV файл с обновлениями → Система проверяет данные → Применяет изменения к товарам,16,2,Средний,Средняя,"inventoryId - Уникальный идентификатор записи инвентаря
productId - Ссылка на товар
quantity - Количество на складе
reservedQuantity - Зарезервированное количество
availableQuantity - Доступное количество
minThreshold - Минимальный порог
maxThreshold - Максимальный порог
regionRestrictions - Ограничения по регионам
lastUpdated - Дата последнего обновления"
USE CASE,Alternative Flow A3,Интеграция с поставщиками: Система получает данные о поставках → Автоматически обновляет остатки → Уведомляет о новых поступлениях,20,2.5,Средний,Высокая,"inventoryId - Уникальный идентификатор записи инвентаря
productId - Ссылка на товар
quantity - Количество на складе
reservedQuantity - Зарезервированное количество
availableQuantity - Доступное количество
minThreshold - Минимальный порог
maxThreshold - Максимальный порог
regionRestrictions - Ограничения по регионам
lastUpdated - Дата последнего обновления

stockMovementId - Уникальный идентификатор движения
productId - Ссылка на товар
movementType - Тип движения (поступление/продажа/резерв)
quantity - Количество
previousQuantity - Предыдущее количество
newQuantity - Новое количество
reason - Причина движения
timestamp - Время движения
userId - Пользователь выполнивший операцию"
USE CASE,Exception Flow E1,Отрицательные остатки: Система обнаруживает отрицательный остаток → Блокирует продажи товара → Уведомляет мерчанта о проблеме,8,1,Высокий,Низкая,"alertId - Уникальный идентификатор алерта
productId - Ссылка на товар
alertType - Тип алерта (низкий запас/высокий запас/отсутствие)
threshold - Пороговое значение
isActive - Флаг активности
notificationChannels - Каналы уведомлений
recipients - Получатели уведомлений
createdAt - Дата создания
lastTriggered - Дата последнего срабатывания

inventoryId - Уникальный идентификатор записи инвентаря
productId - Ссылка на товар
quantity - Количество на складе
reservedQuantity - Зарезервированное количество
availableQuantity - Доступное количество
minThreshold - Минимальный порог
maxThreshold - Максимальный порог
regionRestrictions - Ограничения по регионам
lastUpdated - Дата последнего обновления"
USE CASE,Exception Flow E2,Ошибка синхронизации: Система не может синхронизироваться с внешними системами → Показывает последние известные данные → Уведомляет об ошибке,8,1,Высокий,Низкая,"alertId - Уникальный идентификатор алерта
productId - Ссылка на товар
alertType - Тип алерта (низкий запас/высокий запас/отсутствие)
threshold - Пороговое значение
isActive - Флаг активности
notificationChannels - Каналы уведомлений
recipients - Получатели уведомлений
createdAt - Дата создания
lastTriggered - Дата последнего срабатывания"
USE CASE,Exception Flow E3,Превышение лимитов: Система обнаруживает превышение максимального запаса → Предупреждает о переполнении склада → Предлагает варианты решения,4,0.5,Средний,Низкая,"alertId - Уникальный идентификатор алерта
productId - Ссылка на товар
alertType - Тип алерта (низкий запас/высокий запас/отсутствие)
threshold - Пороговое значение
isActive - Флаг активности
notificationChannels - Каналы уведомлений
recipients - Получатели уведомлений
createdAt - Дата создания
lastTriggered - Дата последнего срабатывания"
USE CASE,Postcondition Success,Остатки отслеживаются в реальном времени Настроены алерты для критических товаров Доступны прогнозы потребностей,0,0,Высокий,Высокая,"inventoryId - Уникальный идентификатор записи инвентаря
productId - Ссылка на товар
quantity - Количество на складе
reservedQuantity - Зарезервированное количество
availableQuantity - Доступное количество
minThreshold - Минимальный порог
maxThreshold - Максимальный порог
regionRestrictions - Ограничения по регионам
lastUpdated - Дата последнего обновления

alertId - Уникальный идентификатор алерта
productId - Ссылка на товар
alertType - Тип алерта (низкий запас/высокий запас/отсутствие)
threshold - Пороговое значение
isActive - Флаг активности
notificationChannels - Каналы уведомлений
recipients - Получатели уведомлений
createdAt - Дата создания
lastTriggered - Дата последнего срабатывания

analyticsId - Уникальный идентификатор аналитики
productId - Ссылка на товар
views - Количество просмотров
purchases - Количество покупок
conversionRate - Конверсия
revenue - Выручка
lastCalculated - Дата последнего расчета"
USE CASE,Postcondition Failure,Система отслеживания недоступна Остатки не обновляются Мерчант не получает уведомления,0,0,Высокий,Высокая,"alertId - Уникальный идентификатор алерта
productId - Ссылка на товар
alertType - Тип алерта (низкий запас/высокий запас/отсутствие)
threshold - Пороговое значение
isActive - Флаг активности
notificationChannels - Каналы уведомлений
recipients - Получатели уведомлений
createdAt - Дата создания
lastTriggered - Дата последнего срабатывания"
USE CASE,Ключевые метрики,Точность отслеживания остатков Время реакции на изменения Количество ложных алертов,0,0,Высокий,Высокая,"analyticsId - Уникальный идентификатор аналитики
productId - Ссылка на товар
views - Количество просмотров
purchases - Количество покупок
conversionRate - Конверсия
revenue - Выручка
lastCalculated - Дата последнего расчета"
USE CASE,Приоритет,Высокий,0,0,Высокий,Высокая,
USE CASE,Сложность,Высокая,0,0,Высокий,Высокая,
USE CASE,Зависимости,Analytics Module Notification Service Purchase System Supplier APIs,0,0,Высокий,Высокая,
USE CASE,Общая оценка (Use Case),,132,16.5,Высокий,Высокая,
