Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Use Case ID,UC_EXTERNAL_LINKS_UI_001,0,0,Низкий,Низкая,ExternalLink LinkCategory Player Navigation Analytics
USE CASE,Название,External Links - User Interface,0,0,Низкий,Низкая,
USE CASE,Описание,Пользовательский интерфейс для отображения и управления внешними ссылками с категоризацией и безопасным переходом,0,0,Низкий,Низкая,
USE CASE,Primary Actor,Игрок (пользователь внешних ссылок),0,0,Низкий,Низкая,
USE CASE,Secondary Actors,Browser Security System,0,0,Низкий,Низкая,
USE CASE,Цель,Предоставить удобный интерфейс для доступа к внешним ресурсам с безопасным переходом и отслеживанием активности,0,0,Низкий,Низкая,
USE CASE,Preconditions,Игрок авторизован в системе Доступ к разделу External Links,0,0,Низкий,Низкая,
USE CASE,Main Flow Step 1,Открытие раздела внешних ссылок: Игрок нажимает на меню "Внешние ссылки" → Система загружает список ссылок → Показывает категории,4,0.5,Низкий,Низкая,"externalLinksId - Уникальный идентификатор раздела внешних ссылок
playerId - Ссылка на игрока
availableCategories - Список доступных категорий
favoriteLinks - Список избранных ссылок
lastVisited - Последняя посещенная ссылка
isActive - Флаг активности"
USE CASE,Main Flow Step 2,Просмотр категорий ссылок: Система показывает карточки категорий → Игрок может выбрать категорию → Видит список ссылок в категории,6,0.75,Низкий,Низкая,"linkCategoryId - Уникальный идентификатор категории ссылок
categoryName - Название категории
description - Описание категории
linkCount - Количество ссылок в категории
iconUrl - URL иконки категории
displayOrder - Порядок отображения
isActive - Флаг активности"
USE CASE,Main Flow Step 3,Просмотр списка ссылок: Игрок выбирает категорию → Система показывает ссылки → Отображает описание и превью,8,1,Низкий,Низкая,"externalLinkId - Уникальный идентификатор внешней ссылки
linkName - Название ссылки
linkUrl - URL ссылки
description - Описание ссылки
categoryId - Ссылка на категорию
iconUrl - URL иконки
isVerified - Флаг верификации безопасности"
USE CASE,Main Flow Step 4,Переход по ссылке: Игрок кликает на ссылку → Система показывает предупреждение → Открывает ссылку в новой вкладке,6,0.75,Низкий,Низкая,"linkClickId - Уникальный идентификатор клика по ссылке
playerId - Ссылка на игрока
linkId - Ссылка на внешнюю ссылку
clickTime - Время клика
referrerUrl - URL источника перехода
isNewTab - Флаг открытия в новой вкладке"
USE CASE,Main Flow Step 5,Добавление в избранное: Игрок нажимает на звездочку → Система добавляет ссылку в избранное → Показывает подтверждение,4,0.5,Низкий,Низкая,"favoriteLinkId - Уникальный идентификатор избранной ссылки
playerId - Ссылка на игрока
linkId - Ссылка на внешнюю ссылку
addedAt - Время добавления
isActive - Флаг активности
displayOrder - Порядок в избранном"
USE CASE,Main Flow Step 6,Поиск по ссылкам: Игрок вводит поисковый запрос → Система показывает результаты → Позволяет фильтровать по категориям,6,0.75,Низкий,Низкая,"linkSearchId - Уникальный идентификатор поиска по ссылкам
playerId - Ссылка на игрока
searchQuery - Поисковый запрос
results - Список найденных ссылок
filters - Примененные фильтры
executedAt - Время выполнения поиска"
USE CASE,Main Flow Step 7,Просмотр истории переходов: Игрок нажимает "История" → Система показывает посещенные ссылки → Позволяет повторить переход,4,0.5,Низкий,Низкая,"linkHistoryId - Уникальный идентификатор истории ссылок
playerId - Ссылка на игрока
linkId - Ссылка на внешнюю ссылку
visitedAt - Время посещения
visitCount - Количество посещений
lastVisited - Время последнего посещения"
USE CASE,Alternative Flow A1,Быстрый доступ: Игрок использует избранные ссылки → Система показывает быстрый доступ → Позволяет быстро переходить к часто используемым ссылкам,4,0.5,Низкий,Низкая,"favoriteLinkId - Уникальный идентификатор избранной ссылки
playerId - Ссылка на игрока
linkId - Ссылка на внешнюю ссылку
addedAt - Время добавления
isActive - Флаг активности
displayOrder - Порядок в избранном"
USE CASE,Alternative Flow A2,Поделиться ссылкой: Игрок нажимает "Поделиться" → Система генерирует ссылку → Позволяет поделиться в социальных сетях,6,0.75,Низкий,Низкая,"linkShareId - Уникальный идентификатор публикации ссылки
playerId - Ссылка на игрока
linkId - Ссылка на внешнюю ссылку
shareType - Тип публикации (ссылка/описание)
platform - Платформа (Twitter/Facebook/Instagram)
sharedAt - Время публикации"
USE CASE,Alternative Flow A3,Отчет о проблемной ссылке: Игрок сообщает о проблемной ссылке → Система сохраняет отчет → Отправляет на модерацию,4,0.5,Низкий,Низкая,"linkReportId - Уникальный идентификатор отчета о ссылке
playerId - Ссылка на игрока
linkId - Ссылка на внешнюю ссылку
reportType - Тип проблемы (не работает/небезопасна/устарела)
reportDescription - Описание проблемы
reportedAt - Время отправки отчета"
