Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Use Case ID,UC_SKU_MANAGEMENT_UI_001,0,0,Высокий,Высокая,Product Category Inventory Pricing Localization Media Tags Analytics
USE CASE,Название,SKU Management - Create/Edit Products UI,0,0,Высокий,Высокая,
USE CASE,Описание,Пользовательский интерфейс для создания и редактирования игровых товаров через веб-формы с загрузкой медиа и настройкой характеристик,0,0,Высокий,Высокая,
USE CASE,Primary Actor,Мерчант (администратор магазина товаровед),0,0,Высокий,Высокая,
USE CASE,Secondary Actors,Система уведомлений,0,0,Высокий,Высокая,
USE CASE,Цель,Предоставить удобный интерфейс для управления каталогом игровых товаров без технических знаний,0,0,Высокий,Высокая,
USE CASE,Preconditions,Мерчант авторизован в системе Доступ к разделу SKU Management,0,0,Высокий,Высокая,
USE CASE,Main Flow Step 1,Открытие управления товарами: Мерчант нажимает на меню "Products" → Выбирает "SKU Management" → Система отображает список товаров,4,0.5,Высокий,Низкая,"productId - Уникальный идентификатор товара
name - Название товара
description - Описание товара
type - Тип товара (скин/оружие/предмет)
status - Статус (активен/неактивен/черновик)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор товара"
USE CASE,Main Flow Step 2,Просмотр каталога товаров: Система показывает карточки товаров с изображениями → Мерчант может фильтровать по категориям → Видит статус каждого товара,8,1,Высокий,Низкая,"productId - Уникальный идентификатор товара
name - Название товара
description - Описание товара
type - Тип товара (скин/оружие/предмет)
status - Статус (активен/неактивен/черновик)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор товара

categoryId - Уникальный идентификатор категории
name - Название категории
parentId - Родительская категория
description - Описание категории
sortOrder - Порядок сортировки
isActive - Флаг активности"
USE CASE,Main Flow Step 3,Создание нового товара: Мерчант нажимает кнопку "Создать товар" → Система открывает мастер создания → Показывает пошаговую форму,12,1.5,Высокий,Средняя,"productId - Уникальный идентификатор товара
name - Название товара
description - Описание товара
type - Тип товара (скин/оружие/предмет)
status - Статус (активен/неактивен/черновик)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор товара"
USE CASE,Main Flow Step 4,Заполнение базовой информации: Мерчант вводит название и описание → Выбирает тип товара из выпадающего списка → Система показывает превью,16,2,Высокий,Средняя,"productId - Уникальный идентификатор товара
name - Название товара
description - Описание товара
type - Тип товара (скин/оружие/предмет)
status - Статус (активен/неактивен/черновик)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор товара

categoryId - Уникальный идентификатор категории
name - Название категории
parentId - Родительская категория
description - Описание категории
sortOrder - Порядок сортировки
isActive - Флаг активности"
USE CASE,Main Flow Step 5,Загрузка медиа-контента: Мерчант перетаскивает файлы в область загрузки → Система показывает прогресс → Создает превью и миниатюры,24,3,Высокий,Высокая,"mediaId - Уникальный идентификатор медиа
productId - Ссылка на товар
type - Тип медиа (изображение/видео/3D модель)
url - URL медиа-файла
thumbnailUrl - URL миниатюры
altText - Альтернативный текст
fileSize - Размер файла
format - Формат файла
uploadedAt - Дата загрузки"
